blz,bic
13070024,DEUTDEDB144
13070024,DEUTDEDB145
13070024,DEUTDEDB146
13070024,DEUTDEDB147
13070024,DEUTDEDB148
13070024,DEUTDEDB149
13070024,DEUTDEDB150
13070024,DEUTDEDB151
13070024,DEUTDEDB152
13070024,DEUTDEDB153
13070024,DEUTDEDB154
13070024,DEUTDEDB155
13070024,DEUTDEDB156
13070024,DEUTDEDB157
13070024,DEUTDEDB158
13070024,DEUTDEDB159
13070024,DEUTDEDB179
13070024,DEUTDEDBROS
13070405,DEUTDEBBP35
13070424,DEUTDEDBP35
13080000,DRESDEFF130
13090000,GENODEF1HR1
13091054,GENODEF1HST
13091084,GENODEF1HWV
14040000,COBADEFFXXX
14051000,NOLADE21WIS
14051362,NOLADE21PCH
14051462,NOLADE21SNS
14052000,NOLADE21LWL
14061308,GENODEF1GUE
14061438,GENODEF1GDB
14080000,DRESDEFF140
14080011,DRESDEFFI27
14091464,GENODEF1SN1
15000000,MARKDEF1150
15040068,COBADEFFXXX
15050100,NOLADE21WRN
15050200,NOLADE21NBS
15050400,NOLADE21PSW
15050500,NOLADE21GRW
15051732,NOLADE21MST
15061618,GENODEF1WRN
15061638,GENODEF1ANK
15061698,GENODEF1MAL
15080000,DRESDEFF150
15091674,GENODEF1DM1
15091704,GENODEF1PZ1
16010300,ILBXDE8XXXX
16020086,HYVEDEMM470
16040000,COBADEFFXXX
16050000,WELADED1PMB
16050101,WELADED1PRP
16050202,WELADED1OPR
16050500,LBSODEB1XXX
16060122,GENODEF1PER
16061938,GENODEF1NPP
16062008,GENODEF1LUK
16062073,GENODEF1BRB
16080000,DRESDEFF160
16091994,GENODEF1RN1
17020086,HYVEDEMM471
17040000,COBADEFFXXX
17052000,WELADED1GZE
17052302,WELADED1UMX
17054040,WELADED1MOL
17055050,WELADED1LOS
17056060,WELADED1UMP
17062428,GENODEF1BKW
17080000,DRESDEFF170
17092404,GENODEF1FW1
18020086,HYVEDEMM472
18040000,COBADEFFXXX
18050000,WELADED1CBN
18051000,WELADED1EES
18055000,WELADED1OSL
18062678,GENODEF1FWA
18062758,GENODEF1FOR
18080000,DRESDEFF180
18092684,GENODEF1LN1
18092744,GENODEF1SPM
20000000,MARKDEF1200
20010020,PBNKDEFFXXX
20010424,AARBDE5W200
20020200,ESSEDEFFHAM
20020500,JYBADEHHXXX
20020900,SIBSDEHHXXX
20030000,HYVEDEMM300
20030133,VGAGDEHHXXX
20030300,CHDBDEHHXXX
20030301,CHDBDEHHXXX
20030400,MCRDDEHHXXX
20030600,SYBKDE22HAM
20030700,MEFIDEMM200
20040000,COBADEHHXXX
20040005,COBADEHHXXX
20040020,COBADEFFXXX
