blz,bic
28470024,DEUTDEDB286
28470024,DEUTDEDB289
28470024,DEUTDEDB298
28470091,DEUTDEHB284
28470091,DEUTDEHB286
28470091,DEUTDEHB289
28470091,DEUTDEHB298
28520009,OLBODEH2XXX
28521518,OLBODEH2XXX
28540034,COBADEFFXXX
28550000,BRLADE21LER
28562297,GENODEF1UPL
28562716,GENODEF1WEF
28562863,GENODEF1HTL
28563749,GENODEF1MML
28570024,DEUTDEDB285
28570024,DEUTDEDB287
28570024,DEUTDEDB288
28570092,DEUTDEHB285
28570092,DEUTDEHB287
28570092,DEUTDEHB288
28590075,GENODEF1LER
28591579,GENODEF1PAP
28591654,GENODEF1WRH
29020000,NEELDE22XXX
29030400,PLUMDE29XXX
29040060,COBADEFFXXX
29040061,COBADEFFXXX
29040090,COBADEFFXXX
29050000,BRLADE22OLD
29050000,BRLADE22XXX
29050101,SBREDE22XXX
29070024,DEUTDEDB290
29070024,DEUTDEDB292
29070024,DEUTDEDB293
29070024,DEUTDEDB294
29070024,DEUTDEDB295
29070024,DEUTDEDB296
29070024,DEUTDEDB297
29070024,DEUTDEDBBRE
29070050,DEUTDEHB295
29070050,DEUTDEHB297
29070050,DEUTDEHBXXX
29070051,DEUTDEHB292
29070052,DEUTDEHB294
29070058,DEUTDEHB293
29070059,DEUTDEHB290
29070059,DEUTDEHB296
29070324,DEUTDEDBP21
29070367,DEUTDEHBP21
29080010,DRESDEFF290
29089210,DRESDEFFI13
29090900,GENODEF1P03
29121731,OLBODEH2XXX
29151700,BRLADE21SYK
29152300,BRLADE21OHZ
29152550,BRLADE21SHL
29152670,BRLADE21VER
29162394,GENODEF1OHZ
29162453,GENODEF1SWW
29162697,GENODEF1VER
29165545,GENODEF1OYT
29165681,GENODEF1SUM
29166568,GENODEF1WOP
29167624,GENODEF1SHR
29172624,DEUTDEDB291
29172655,DEUTDEHB291
29190024,GENODEF1HB1
29190330,GENODEF1HB2
29190399,GENODEF1HB2
29240024,COBADEFFXXX
29250000,BRLADE21BRS
29250150,BRLADE21BRK
29262722,GENODEF1BRV
29265747,GENODEF1BEV
29280011,DRESDEFF292
29290034,GENODEF1HBV
30000000,MARKDEF1300
30010400,IKBDDEDDXXX
30010444,IKBDDEDDDIR
30010700,BOTKDEDXXXX
30013300,EBPBDED2XXX
30020500,BHFBDEFF300
30020700,MHCBDEDDXXX
30020900,CMCIDEDDXXX
30022000,NRWBDEDMXXX
30030100,PULSDEDDXXX
30030500,CUABDED1XXX
30030600,ETRIDE31XXX
30030880,TUBDDEDDXXX
30030889,TUBDDEDDXXX
30030900,MEFIDEMM300
30040000,COBADEDDXXX
30040005,COBADEDDXXX
30040048,COBADEFFXXX
30040060,COBADEFFXXX
30040061,COBADEFFXXX
30040062,COBADEFFXXX
30040063,COBADEFFXXX
30040098,COBADEFFCSC
30040099,COBADEFFSTS
30050000,WELADEDDXXX
30050110,DUSSDEDDXXX
30060010,GENODEDDXXX
30060601,DAAEDEDDXXX
30060992,GENODEF1P05
30070010,DEUTDEDD300
30070010,DEUTDEDD301
30070010,DEUTDEDD302
30070010,DEUTDEDD303
30070010,DEUTDEDD304
30070010,DEUTDEDD305
30070010,DEUTDEDD306
30070010,DEUTDEDD307
30070010,DEUTDEDDXXX
30070024,DEUTDEDB300
30070024,DEUTDEDB301
30070024,DEUTDEDB302
30070024,DEUTDEDB303
30070024,DEUTDEDB304
30070024,DEUTDEDB305
30070024,DEUTDEDB306
30070024,DEUTDEDB307
30070024,DEUTDEDBDUE
30070207,DEUTDEDDP06
30070224,DEUTDEDBP06
30080000,DRESDEFF300
30080005,DRESDEFFXXX
30080022,DRESDEFFI28
30080038,DRESDEFFXXX
30080041,DRESDEFFI29
30080053,DRESDEFFI30
30080055,DRESDEFF309
30080057,DRESDEFF316
30080061,DRESDEFFI31
30080074,DRESDEFFI32
30080080,DRESDEFFI76
30080081,DRESDEFFI77
30080082,DRESDEFFI78
30080083,DRESDEFFI79
30080084,DRESDEFFI80
30080085,DRESDEFFI81
30080086,DRESDEFFI82
30080087,DRESDEFFI83
30080088,DRESDEFFI84
30080089,DRESDEFFI85
30080095,DRESDEFFI33
30089300,DRESDEFFI02
30089302,DRESDEFFI03
30110300,SMBCDEDDXXX
30130100,DHBNDEDDXXX
30130200,UGBIDEDDXXX
30130600,ISBKDEFXDUS
30150001,WELADEDDXXX
30150200,WELADED1KSD
30160213,GENODED1DNE
30160266,GENODED1DNE
30220190,HYVEDEMM414
30330800,BIWBDE33303
30351220,WELADED1HAA
30520000,RCIDDE3NXXX
30520037,RCIDDE3NPAY
30524400,KREDDEDDXXX
30530000,WERHDED1XXX
30530500,WEFZDED1XXX
30550000,WELADEDNXXX
30551240,WELADED1KST
30560090,GENODED1NSS
30560548,GENODED1NLD
30560591,GENODED1NLD
31010833,SCFBDE33XXX
31040015,COBADEFFXXX
31040060,COBADEFFXXX
31040061,COBADEFFXXX
31050000,MGLSDE33XXX
31060181,GENODED1GBM
31060517,GENODED1MRB
31062154,GENODED1KBN
31062553,GENODED1NKR
31070001,DEUTDEDD310
31070001,DEUTDEDD317
31070001,DEUTDEDD318
31070001,DEUTDEDD319
31070024,DEUTDEDB310
31070024,DEUTDEDB317
31070024,DEUTDEDB318
31070024,DEUTDEDB319
31070206,DEUTDEDDP05
31070224,DEUTDEDBP05
31080015,DRESDEFF310
31080061,DRESDEFFI34
31251220,WELADED1ERK
31261282,GENODED1EHE
31263359,GENODED1LOE
31460290,GENODED1VSN
31470004,DEUTDEDD314
31470004,DEUTDEDD315
31470004,DEUTDEDD316
31470024,DEUTDEDB314
31470024,DEUTDEDB315
31470024,DEUTDEDB316
32040024,COBADEFFXXX
32050000,SPKRDE33XXX
32051996,WELADED1STR
32060362,GENODED1HTK
32061384,GENODED1GDL
32061414,GENODED1KMP
32070024,DEUTDEDB320
32070024,DEUTDEDB321
32070024,DEUTDEDB322
32070024,DEUTDEDB323
32070024,DEUTDEDB327
32070024,DEUTDEDB328
32070024,DEUTDEDB329
32070024,DEUTDEDB936
32070080,DEUTDEDD320
32070080,DEUTDEDD321
32070080,DEUTDEDD322
32070080,DEUTDEDD323
32070080,DEUTDEDD327
32070080,DEUTDEDD328
32070080,DEUTDEDD329
32070080,DEUTDEDD331
32080010,DRESDEFF320
32250050,WELADED1GOC
32440023,COBADEFFXXX
32450000,WELADED1KLE
32460422,GENODED1KLL
32470024,DEUTDEDB324
32470024,DEUTDEDB325
32470024,DEUTDEDB326
32470077,DEUTDEDD324
32470077,DEUTDEDD325
32470077,DEUTDEDD326
33020000,AKFBDE31XXX
33020190,HYVEDEMM809
33030000,GGABDE31XXX
33040001,COBADEFFXXX
33040310,COBADEDHXXX
33050000,WUPSDE33XXX
33060098,GENODED1CVW
33060592,GENODED1SPW
33070024,DEUTDEDB330
33070024,DEUTDEDB331
33070024,DEUTDEDB332
33070024,DEUTDEDB333
33070024,DEUTDEDB334
33070024,DEUTDEDB335
33070024,DEUTDEDBWUP
33070090,DEUTDEDW330
33070090,DEUTDEDW331
33070090,DEUTDEDW332
33070090,DEUTDEDW333
33070090,DEUTDEDW334
33070090,DEUTDEDW335
33070090,DEUTDEDWXXX
33080001,DRESDEFFI86
33080030,DRESDEFF332
33080085,DRESDEFFI87
33080086,DRESDEFFI88
33080087,DRESDEFFI89
33080088,DRESDEFFI90
33440035,COBADEFFXXX
33450000,WELADED1VEL
33451220,WELADED1HGH
34040049,COBADEFFXXX
34050000,WELADEDRXXX
34051350,WELADED1RVW
34051570,WELADED1WMK
34060094,VBRSDE33XXX
34060094,VBRSDE33305
34060094,VBRSDE33330
34060094,VBRSDE33341
34060094,VBRSDE33342
34060094,VBRSDE33343
34060094,VBRSDE33345
34060094,VBRSDE33346
34060094,VBRSDE33347
34070024,DEUTDEDB340
34070024,DEUTDEDB341
34070024,DEUTDEDB344
34070024,DEUTDEDB345
34070024,DEUTDEDB346
34070093,DEUTDEDW340
34070093,DEUTDEDW341
34070093,DEUTDEDW344
34070093,DEUTDEDW345
34070093,DEUTDEDW346
34080031,DRESDEFF340
34240050,COBADEFFXXX
34250000,SOLSDE33XXX
34270024,DEUTDEDB342
34270024,DEUTDEDB343
34270094,DEUTDEDW342
34270094,DEUTDEDW343
34280032,DRESDEFF342
35040038,COBADEFFXXX
35040085,COBADEFFXXX
35050000,DUISDE33XXX
35060190,GENODED1DKD
35060199,GENODED1DKD
35060386,GENODED1VRR
35070024,DEUTDEDB350
35070024,DEUTDEDB351
35070024,DEUTDEDB352
35070024,DEUTDEDB354
35070024,DEUTDEDB356
35070030,DEUTDEDE350
35070030,DEUTDEDE351
35070030,DEUTDEDE352
35070030,DEUTDEDE354
35070030,DEUTDEDE356
35080070,DRESDEFF350
35080085,DRESDEFFI91
35080086,DRESDEFFI92
35080087,DRESDEFFI93
35080088,DRESDEFFI94
35080089,DRESDEFFI95
35090300,GENODEF1BSD
35251000,WELADED1DIN
35261248,GENODED1DLK
35450000,WELADED1MOR
35451460,WELADED1NVL
35451775,WELADED1RHB
35461106,GENODED1NRH
35640064,COBADEFFXXX
35650000,WELADED1WES
35660501,GENODED1RLW
35660599,GENODED1RLW
35850000,WELADED1EMR
35860245,GENODED1EMR
36000000,MARKDEF1360
36010043,PBNKDEFFXXX
36010424,AARBDE5W360
36020030,NBAGDE3EXXX
36020186,HYVEDEMM360
36033300,SCFBDE33XXX
36040039,COBADEFFXXX
36040060,COBADEFFXXX
36040061,COBADEFFXXX
36040085,COBADEFFXXX
36050105,SPESDE3EXXX
36060192,GENODED1PA2
36060295,GENODED1BBE
36060488,GENODEM1GBE
36060591,GENODED1SPE
36070024,DEUTDEDBESS
36070050,DEUTDEDEXXX
36070208,DEUTDEDEP07
36070224,DEUTDEDBP07
36080080,DRESDEFF360
36080085,DRESDEFFI66
36089321,DRESDEFFI17
36240045,COBADEFFXXX
36250000,SPMHDE3EXXX
36270024,DEUTDEDB362
36270048,DEUTDEDE362
36280071,DRESDEFF362
36540046,COBADEFFXXX
36550000,WELADED1OBH
36570024,DEUTDEDB365
36570049,DEUTDEDE365
36580072,DRESDEFF365
37000000,MARKDEF1370
37010050,PBNKDEFFXXX
37010600,BNPADEFFXXX
37010699,BNPADEFFXXX
37011000,PBNKDEFFXXX
37019000,BUNQDE82XXX
37020090,HYVEDEMM429
37020200,AXABDE31XXX
37020400,TOBADE33XXX
37020500,BFSWDE33XXX
37020600,SCFBDE33XXX
37021500,FDBADE8FXXX
37021548,LRFSDE31XXX
37027000,SCFBDE33XXX
37030700,WWBADE3AXXX
37030800,ISBKDEFXKOL
37040037,COBADEFFXXX
37040044,COBADEFFXXX
37040048,COBADEFFXXX
37040060,COBADEFFXXX
37040061,COBADEFFXXX
37050198,COLSDE33XXX
37050299,COKSDE33XXX
37060120,GENODED1PA7
37060193,GENODED1PAX
37060194,GENODED1PAX
37060590,GENODED1SPK
37060993,GENODEF1P13
37062124,GENODED1BGL
37062365,GENODED1FHH
37062600,GENODED1PAF
37063367,GENODED1FKH
37069101,GENODED1AEG
37069103,GENODED1ALD
37069125,GENODED1RKO
37069153,GENODED1HCK
37069164,GENODED1MBU
37069252,GENODED1ERE
37069302,GENODED1GLK
37069303,GENODED1GKK
37069306,GENODED1GRB
37069322,GENODED1EGY
37069330,GENODED1HAW
37069331,GENODED1KHO
37069342,GENODED1HMB
37069354,GENODED1SEG
37069355,GENODED1AHO
37069381,GENODED1IMM
37069401,GENODED1JUK
37069405,GENODED1KAA
37069412,GENODED1HRB
37069427,GENODED1DHK
37069429,GENODED1KNL
37069472,GENODED1ERF
37069520,GENODED1RST
37069521,GENODED1MNH
37069524,GENODED1MUC
37069627,GENODED1RBC
37069639,GENODED1WND
37069642,GENODED1SMR
37069707,GENODED1SAM
37069720,GENODED1SLE
37069805,GENODED1WVI
37069833,GENODED1WSL
37069840,GENODED1WPF
37069991,GENODED1BRL
37070000,DEUTDEDK402
37070024,DEUTDEDB353
37070024,DEUTDEDB355
37070024,DEUTDEDB357
37070024,DEUTDEDB358
37070024,DEUTDEDB360
37070024,DEUTDEDB370
37070024,DEUTDEDB371
37070024,DEUTDEDB372
37070024,DEUTDEDB373
37070024,DEUTDEDB379
37070024,DEUTDEDB386
37070024,DEUTDEDB938
37070024,DEUTDEDB939
37070024,DEUTDEDB940
37070024,DEUTDEDB941
37070024,DEUTDEDBKOE
37070060,DEUTDEDK351
37070060,DEUTDEDK352
37070060,DEUTDEDK353
37070060,DEUTDEDK354
37070060,DEUTDEDK355
37070060,DEUTDEDK356
37070060,DEUTDEDK357
37070060,DEUTDEDK358
37070060,DEUTDEDK360
37070060,DEUTDEDK370
37070060,DEUTDEDK371
37070060,DEUTDEDK372
37070060,DEUTDEDK373
37070060,DEUTDEDK379
37070060,DEUTDEDK386
37070060,DEUTDEDKXXX
37070209,DEUTDEDKP08
37070224,DEUTDEDBP08
37080040,DRESDEFF370
37080085,DRESDEFFI51
37080086,DRESDEFFI67
37080087,DRESDEFFI96
37080088,DRESDEFFI97
37080089,DRESDEFFI98
37080090,DRESDEFFJ01
37080091,DRESDEFFJ02
37080092,DRESDEFFJ03
37080093,DRESDEFFJ04
37080094,DRESDEFFJ05
37080095,DRESDEFFJ06
37080096,DRESDEFFXXX
37080097,DRESDEFFXXX
37080098,DRESDEFFJ07
37080099,DRESDEFFI36
37089340,DRESDEFFI04
37089342,DRESDEFFI05
37160087,GENODED1CGN
37161289,GENODED1BRH
37540050,COBADEFFXXX
37551020,WELADED1LEI
37551440,WELADEDLLEV
37551780,WELADED1LAF
37570024,DEUTDEDB375
37570024,DEUTDEDB377
37570024,DEUTDEDB378
37570064,DEUTDEDK375
37570064,DEUTDEDK377
37570064,DEUTDEDK378
38010053,PBNKDEFF380
38010700,PBNKDEFFDSL
38010900,DTABDED1XXX
38010999,DTABDED1AUS
38011000,VZVDDED1XXX
38011001,VZVDDED1001
38011002,VZVDDED1002
38011003,VZVDDED1003
38011004,VZVDDED1004
38011005,VZVDDED1005
38011006,VZVDDED1006
38011007,VZVDDED1007
38011008,VZVDDED1008
38020090,HYVEDEMM402
38040007,COBADEFFXXX
38050000,COLSDE33BON
38051290,WELADED1HON
38060186,GENODED1BRS
38070024,DEUTDEDB380
38070024,DEUTDEDB942
38070024,DEUTDEDB943
38070024,DEUTDEDB944
38070024,DEUTDEDB945
38070024,DEUTDEDB946
38070059,DEUTDEDK380
38070059,DEUTDEDK384
38070059,DEUTDEDK385
38070059,DEUTDEDK387
38070059,DEUTDEDK388
38070059,DEUTDEDK389
38070408,DEUTDEDKP38
38070424,DEUTDEDBP38
38070724,DEUTDEDBXXX
38077724,DEUTDEDB383
38080055,DRESDEFF380
38160220,GENODED1HBO
38250110,WELADED1EUS
38260082,GENODED1EVB
38440016,COBADEFFXXX
38450000,WELADED1GMB
38452490,WELADED1WIE
38462135,GENODED1WIL
38470024,DEUTDEDB384
38470024,DEUTDEDB385
38470024,DEUTDEDB387
38470024,DEUTDEDB388
38470024,DEUTDEDB389
38470091,DEUTDEDW384
38470091,DEUTDEDW385
38470091,DEUTDEDW387
38470091,DEUTDEDW388
38470091,DEUTDEDW389
38621500,GENODED1STB
38650000,WELADED1SGB
38651390,WELADED1HEN
39020000,AABSDE31XXX
39040013,COBADEFFXXX
39050000,AACSDE33XXX
39060180,GENODED1AAC
39061981,GENODED1HNB
39070020,DEUTDEDK390
39070020,DEUTDEDK391
39070020,DEUTDEDK392
39070020,DEUTDEDK393
39070020,DEUTDEDK394
39070020,DEUTDEDK397
39070020,DEUTDEDK398
39070020,DEUTDEDK399
39070020,DEUTDEDK400
39070020,DEUTDEDK401
39070024,DEUTDEDB390
39070024,DEUTDEDB391
39070024,DEUTDEDB392
39070024,DEUTDEDB393
39070024,DEUTDEDB394
39070024,DEUTDEDB397
39070024,DEUTDEDB398
39070024,DEUTDEDB399
39070024,DEUTDEDB947
39070024,DEUTDEDB948
39070210,DEUTDEDKP09
39070224,DEUTDEDBP09
39080005,DRESDEFF390
39080098,DRESDEFFI37
39080099,DRESDEFFI38
39160191,GENODED1PA1
39161490,GENODED1AAS
39162980,GENODED1WUR
39362254,GENODED1RSC
39540052,COBADEFFXXX
39550110,SDUEDE33XXX
39560201,GENODED1DUE
39570024,DEUTDEDB395
39570024,DEUTDEDB396
39570061,DEUTDEDK395
39570061,DEUTDEDK396
39580041,DRESDEFF395
40022000,NRWBDEDMMST
40030000,MLBKDEH1MUE
40040028,COBADEFFXXX
40050000,WELADE3MXXX
40050150,WELADED1MST
40055555,LBSWDE31XXX
40060000,GENODEMSXXX
40060265,GENODEM1DKM
40060560,GENODEF1S08
40061238,GENODEM1GRV
40069226,GENODEM1CND
40069266,GENODEM1MAS
40069283,GENODEM1SLN
40069348,GENODEM1MDB
40069362,GENODEM1SAE
40069363,GENODEM1SMB
40069371,GENODEM1BTH
40069408,GENODEM1BAU
40069477,GENODEM1DWU
40069546,GENODEM1SDN
40069600,GENODEM1MAB
40069601,GENODEM1CAN
40069606,GENODEM1ERR
40069622,GENODEM1LSP
40069709,GENODEM1DLR
40069716,GENODEM1SCN
40070024,DEUTDEDB400
40070024,DEUTDEDB404
40070024,DEUTDEDB949
40070024,DEUTDEDB950
40070024,DEUTDEDB951
40070024,DEUTDEDB952
40070080,DEUTDE3B400
40070080,DEUTDE3B404
40070080,DEUTDE3B440
40070080,DEUTDE3B441
40070080,DEUTDE3B442
40070080,DEUTDE3B443
40070211,DEUTDE3BP10
40070224,DEUTDEDBP10
40080040,DRESDEFF400
40080085,DRESDEFFI68
40090900,GENODEF1P15
40150001,WELADEDDXXX
40153768,WELADED1EMS
40154006,WELADED1GRO
40154476,WELADED1LEN
40154530,WELADE3WXXX
40154702,WELADED1STL
40160050,GENODEM1MSC
40163720,GENODEM1SEE
40164024,GENODEM1GRN
40164256,GENODEM1LAE
40164352,GENODEM1CNO
40164528,GENODEM1LHN
40164618,GENODEM1OTR
40164901,GENODEM1GE1
40165366,GENODEM1SEM
40166439,GENODEM1LLE
40166800,GENODEM1BUL
40340030,COBADEFFXXX
40350005,WELADED1RHN
40351060,WELADED1STF
40351220,WELADED1IBB
40361627,GENODEM1WKP
40361906,GENODEM1IBB
40363433,GENODEM1HRL
40370024,DEUTDEDB401
40370024,DEUTDEDB403
40370024,DEUTDEDB405
40370024,DEUTDEDB406
40370024,DEUTDEDB407
40370024,DEUTDEDB408
40370024,DEUTDEDB409
40370079,DEUTDE3B401
40370079,DEUTDE3B403
40370079,DEUTDE3B405
40370079,DEUTDE3B406
40370079,DEUTDE3B407
40370079,DEUTDE3B408
40370079,DEUTDE3B409
41040018,COBADEFFXXX
41041000,COBADEFFXXX
41050095,WELADED1HAM
41051605,WELADED1WRN
41051845,WELADED1BGK
41061011,GENODEM1HBH
41061903,GENODEM1BAG
41062215,GENODEM1BO1
41070024,DEUTDEDB410
41070024,DEUTDEDB412
41070049,DEUTDEDE410
41070049,DEUTDEDE412
41240048,COBADEFFXXX
41250035,WELADED1BEK
41260006,GENODEM1BEK
41261324,GENODEM1EOW
41261419,GENODEM1OEN
41262501,GENODEM1AHL
41280043,DRESDEFF413
41440018,COBADEFFXXX
41450075,WELADED1SOS
41451750,WELADED1WRL
41460116,GENODEM1SOE
41462295,GENODEM1WRU
41650001,WELADED1LIP
41651770,WELADED1HSL
41651815,WELADED1ERW
41651965,WELADED1GES
41660124,GENODEM1LPS
41661206,GENODEM1ANR
41661504,GENODEM1LBH
41661719,GENODEM1BRI
41662465,GENODEM1SGE
41662557,GENODEM1WST
41663335,GENODEM1HOE
41670024,DEUTDEDB414
41670024,DEUTDEDB416
41670024,DEUTDEDB417
41670024,DEUTDEDB418
41670027,DEUTDE3B416
41670028,DEUTDE3B417
41670029,DEUTDE3B414
41670030,DEUTDE3B418
42030600,ISBKDEFXGEL
42040040,COBADEFFXXX
42050001,WELADED1GEK
42070024,DEUTDEDB366
42070024,DEUTDEDB420
42070024,DEUTDEDB421
42070024,DEUTDEDB422
42070024,DEUTDEDB423
42070024,DEUTDEDB424
42070024,DEUTDEDB425
42070024,DEUTDEDB426
42070062,DEUTDEDE384
42070062,DEUTDEDE420
42070062,DEUTDEDE421
42070062,DEUTDEDE422
42070062,DEUTDEDE423
42070062,DEUTDEDE424
42070062,DEUTDEDE425
42070062,DEUTDEDE426
42080082,DRESDEFF420
42260001,GENODEM1GBU
42450040,WELADED1GLA
42451220,WELADED1BOT
42461435,GENODEM1KIH
42640048,COBADEFFXXX
42650150,WELADED1REK
42651315,WELADED1HAT
42661008,GENODEM1MRL
42661088,GENODEM1MRL
42661330,GENODEM1HLT
42661717,GENODEM1WLW
42662320,GENODEM1DST
42680081,DRESDEFF426
42840005,COBADEFFXXX
42850035,WELADED1BOH
42860003,GENODEM1BOH
42861239,GENODEM1RKN
42861387,GENODEM1BOB
42861515,GENODEM1BOG
42861608,GENODEM1HEI
42861814,GENODEM1RHD
42862451,GENODEM1RAE
42870024,DEUTDEDB428
42870024,DEUTDEDB429
42870077,DEUTDE3B428
42870077,DEUTDE3B429
43000000,MARKDEF1430
43040036,COBADEFFXXX
43050001,WELADED1BOC
43051040,WELADED1HTG
43060129,GENODEM1BOC
43060967,GENODEM1GLS
43060988,GENODEM1GLS
43070024,DEUTDEDB430
43070024,DEUTDEDB431
43070024,DEUTDEDB432
43070024,DEUTDEDB433
43070024,DEUTDEDB434
43070061,DEUTDEDE430
43070061,DEUTDEDE431
43070061,DEUTDEDE432
43070061,DEUTDEDE433
43070061,DEUTDEDE434
43080083,DRESDEFF430
43250030,WELADED1HRN
44000000,MARKDEF1440
44010046,PBNKDEFFXXX
44020090,HYVEDEMM808
44040037,COBADEFFXXX
44040060,COBADEFFXXX
44040061,COBADEFFXXX
44040085,COBADEFFXXX
44050000,WELADE3DXXX
44050199,DORTDE33XXX
44060122,GENODEM1DNW
44064406,GENODED1KDD
44070024,DEUTDEDB440
44070024,DEUTDEDB441
44070024,DEUTDEDB442
44070024,DEUTDEDB443
44070024,DEUTDEDB444
44070024,DEUTDEDB447
44070024,DEUTDEDB448
44070050,DEUTDEDE440
44070050,DEUTDEDE441
44070050,DEUTDEDE442
44070050,DEUTDEDE443
44070050,DEUTDEDE444
44070050,DEUTDEDE447
44070050,DEUTDEDE448
44080050,DRESDEFF440
44080055,DRESDEFF446
44080057,DRESDEFF447
44080085,DRESDEFFI69
44089320,DRESDEFFI18
44090920,GENODEF1P04
44152370,WELADED1LUN
44152490,WELADED1SWT
44160014,GENODEM1DOR
44340037,COBADEFFXXX
44350060,WELADED1UNN
44351380,WELADED1KAM
44351740,WELADED1FRN
44361342,GENODEM1KWK
44540022,COBADEFFXXX
44550045,WELADED1ISL
44551210,WELADED1HEM
44570004,DEUTDEDW443
44570004,DEUTDEDW444
44570004,DEUTDEDW445
44570004,DEUTDEDW446
44570004,DEUTDEDW447
44570004,DEUTDEDW448
44570004,DEUTDEDW449
44570024,DEUTDEDB445
44570024,DEUTDEDB446
44570024,DEUTDEDB449
44570024,DEUTDEDB953
44570024,DEUTDEDB954
44570024,DEUTDEDB955
44570024,DEUTDEDB956
44580070,DRESDEFF445
44580085,DRESDEFFI70
44761312,GENODEM1MEN
44761534,GENODEM1NRD
45000000,MARKDEF1450
45040042,COBADEFFXXX
45050001,WELADE3HXXX
45051485,WELADED1HER
45060009,GENODEM1HGN
45061524,GENODEM1HLH
45070002,DEUTDEDW450
45070002,DEUTDEDW451
45070002,DEUTDEDW453
45070002,DEUTDEDW454
45070002,DEUTDEDW456
45070024,DEUTDEDB450
45070024,DEUTDEDB451
45070024,DEUTDEDB453
45070024,DEUTDEDB454
45070024,DEUTDEDB456
45080060,DRESDEFF450
45240056,COBADEFFXXX
45250035,WELADED1WTN
45251480,WELADED1WET
45251515,SPSHDE31XXX
45260041,GENODEM1WTN
45260475,GENODEM1BFG
45261547,GENODEM1SPO
45450050,WELADED1GEV
45451060,WELADED1ENE
45451555,WELADED1SLM
45660029,GENODEM1ALA
45840026,COBADEFFXXX
45841031,COBADEFFXXX
45850005,WELADED1LSD
45851020,WELADED1PLB
45851665,WELADED1KMZ
45860033,GENODEM1LHA
45861434,GENODEM1KIE
45861617,GENODEM1MOM
46040033,COBADEFFXXX
46050001,WELADED1SIE
46051240,WELADED1BUB
46051733,WELADED1FRE
46051875,WELADED1HIL
46052855,WELADED1SMB
46053480,WELADED1BEB
46060040,GENODEM1SNS
46061724,GENODEM1FRF
46062817,GENODEM1SMA
46063405,GENODEM1BB1
46070024,DEUTDEDB460
46070024,DEUTDEDB461
46070024,DEUTDEDB462
46070024,DEUTDEDB463
46070024,DEUTDEDB464
46070024,DEUTDEDB465
46070024,DEUTDEDB466
46070024,DEUTDEDB469
46070024,DEUTDEDB470
46070024,DEUTDEDB471
46070024,DEUTDEDB516
46070024,DEUTDEDB962
46070024,DEUTDEDB963
46070024,DEUTDEDB964
46070024,DEUTDEDB965
46070024,DEUTDEDB966
46070024,DEUTDEDB967
46070090,DEUTDEDK460
46070090,DEUTDEDK461
46070090,DEUTDEDK462
46070090,DEUTDEDK463
46070090,DEUTDEDK464
46070090,DEUTDEDK465
46070090,DEUTDEDK466
46070090,DEUTDEDK467
46070090,DEUTDEDK468
46070090,DEUTDEDK469
46070090,DEUTDEDK470
46070090,DEUTDEDK471
46070090,DEUTDEDK472
46070090,DEUTDEDK473
46070090,DEUTDEDK474
46070090,DEUTDEDK475
46070090,DEUTDEDK516
46080010,DRESDEFF460
46240016,COBADEFFXXX
46250049,WELADED1OPE
46251590,WELADED1FTR
46251630,WELADED1ALK
46260023,GENODEM1OLP
46261607,GENODEM1GLG
46261822,GENODEM1WDD
46262456,GENODEM1HUL
46441003,COBADEFFXXX
46451012,WELADED1MES
46451250,WELADED1BST
46461126,GENODEM1SRL
46462271,GENODEM1ANO
46464453,GENODEM1RET
46640018,COBADEFFXXX
46650005,WELADED1ARN
46660022,GENODEM1NEH
46670007,DEUTDEDW466
46670007,DEUTDEDW467
46670007,DEUTDEDW468
46670024,DEUTDEDB467
46670024,DEUTDEDB468
46670024,DEUTDEDB961
46670204,DEUTDEDWP03
46670224,DEUTDEDBP03
47000000,MARKDEF1470
47240047,COBADEFFXXX
47250101,WELADED1PBN
47251550,WELADED1HXB
47251740,WELADED1DEL
47260121,DGPBDE3MALT
47260121,DGPBDE3MBRA
47260121,DGPBDE3MBUR
47260121,DGPBDE3MDEL
47260121,DGPBDE3MDRI
47260121,DGPBDE3MDTM
47260121,DGPBDE3MEPW
47260121,DGPBDE3MHBM
47260121,DGPBDE3MHOV
47260121,DGPBDE3MHOX
47260121,DGPBDE3MLAG
47260121,DGPBDE3MLEM
47260121,DGPBDE3MLIP
47260121,DGPBDE3MMND
47260121,DGPBDE3MOER
47260121,DGPBDE3MSAL
47260121,DGPBDE3MSTE
47260121,DGPBDE3MWAR
47260121,DGPBDE3MXXX
47260234,GENODEM1EWB
47260307,GENODEM1BKC
47261429,GENODEM1WNH
47261603,GENODEM1BUS
47262626,GENODEM1WDE
47262703,GENODEM1DLB
47264367,GENODEM1STM
47265383,GENODEM1WAH
47267216,GENODEM1BOT
47270024,DEUTDEDB472
47270024,DEUTDEDB473
47270024,DEUTDEDB474
47270024,DEUTDEDB475
47270024,DEUTDEDB958
47270029,DEUTDE3B451
47270029,DEUTDE3B472
47270029,DEUTDE3B473
47270029,DEUTDE3B474
47270029,DEUTDE3B475
47460028,GENODEM1WBG
47640051,COBADEFFXXX
47650130,WELADE3LXXX
47651225,WELADED1BLO
47670023,DEUTDE3B450
47670023,DEUTDE3B452
47670023,DEUTDE3B453
47670023,DEUTDE3B476
47670023,DEUTDE3B477
47670023,DEUTDE3B478
47670024,DEUTDEDB476
47670024,DEUTDEDB477
47670024,DEUTDEDB478
47670024,DEUTDEDB957
47670024,DEUTDEDB959
