blz,city,ags,bank,pan
10220500,Berlin,11000000,Lloyds Bank,
10220600,Flensburg,01001000,Sydbank Filiale Berlin,
10310600,Berlin,11000000,Tradegate Berlin,25257
10310666,Berlin,11000000,"Tradegate, GF DIR",
10320700,Berlin,11000000,MANGOPAY German Branch,
11010100,Berlin,11000000,Solaris,
11010101,Berlin,11000000,Solaris,
11010111,Berlin,11000000,Solaris,
12016836,Berlin,11000000,KfW Kreditanstalt für Wiederaufbau,
12030000,Berlin,11000000,Deutsche Kreditbank Berlin,51011
12030000,Berlin,11000000,Deutsche Kreditbank (Gf P2),51100
12030000,Chemnitz,14511000,Deutsche Kreditbank,51011
12030000,Cottbus,12052000,Deutsche Kreditbank,51011
12030000,Dresden,14612000,Deutsche Kreditbank,51011
12030000,Erfurt,16051000,Deutsche Kreditbank,51011
12030000,Frankfurt (Oder),12053000,Deutsche Kreditbank,51011
12030000,Gera,16052000,Deutsche Kreditbank,51011
12030000,Halle (Saale),15002000,Deutsche Kreditbank,51011
12030000,Leipzig,14713000,Deutsche Kreditbank,51011
12030000,Magdeburg,15003000,Deutsche Kreditbank,51011
12030000,Neubrandenburg,13071107,Deutsche Kreditbank,51011
12030000,Potsdam,12054000,Deutsche Kreditbank,51011
12030000,Rostock,13003000,Deutsche Kreditbank,51011
12030000,Schwerin,13004000,Deutsche Kreditbank,51011
12030000,Suhl,16054000,Deutsche Kreditbank,51011
12030900,Berlin,11000000,Merck Finck A Quintet Private Bank,26249
12040000,Berlin,11000000,Commerzbank Filiale Berlin 2,24120
12050555,Hannover,03241001,ZVA Norddeutsche Landesbank Gf SA,
12060000,Berlin,11000000,DZ BANK,
12070000,Potsdam,12054000,Deutsche Bank,27704
12070000,Angermünde,12073008,Deutsche Bank,27704
12070000,Bad Freienwalde (Oder),12064044,Deutsche Bank,27704
12070000,Berlin,11000000,Deutsche Bank,27704
12070000,Bernau bei Berlin,12060020,Deutsche Bank,27704
12070000,Brandenburg an der Havel,12051000,Deutsche Bank,27704
12070000,Cottbus,12052000,Deutsche Bank,27704
12070000,Eberswalde,12060052,Deutsche Bank,27704
12070000,Eisenhüttenstadt,12067120,Deutsche Bank,27704
12070000,Falkensee,12063080,Deutsche Bank,27704
12070000,Finsterwalde,12062140,Deutsche Bank,27704
12070000,Forst (Lausitz),12071076,Deutsche Bank,27704
12070000,Frankfurt (Oder),12053000,Deutsche Bank,27704
12070000,Fürstenwalde/Spree,12067144,Deutsche Bank,27704
12070000,Guben,12071160,Deutsche Bank,27704
12070000,Hennigsdorf,12065136,Deutsche Bank,27704
12070000,Jüterbog,12072169,Deutsche Bank,27704
12070000,Kyritz,12068264,Deutsche Bank,27704
12070000,Königs Wusterhausen,12061260,Deutsche Bank,27704
12070000,Luckenwalde,12072232,Deutsche Bank,27704
12070000,Ludwigsfelde,12072240,Deutsche Bank,27704
12070000,Lübben (Spreewald),12061316,Deutsche Bank,27704
12070000,Nauen,12063208,Deutsche Bank,27704
12070000,Neuruppin,12068320,Deutsche Bank,27704
12070000,Oranienburg,12065256,Deutsche Bank,27704
12070000,Pritzwalk,12070316,Deutsche Bank,27704
12070000,Rathenow,12063252,Deutsche Bank,27704
12070000,Schwarzheide,12066296,Deutsche Bank,27704
12070000,Schwedt/Oder,12073532,Deutsche Bank,27704
12070000,Seelow,12064448,Deutsche Bank,27704
12070000,Senftenberg,12066304,Deutsche Bank,27704
12070000,Spremberg,12071372,Deutsche Bank,27704
12070000,Strausberg,12064472,Deutsche Bank,27704
12070000,Teltow,12069616,Deutsche Bank,27704
12070000,Weißwasser/O.L.,14626600,Deutsche Bank,27704
12070000,Werder (Havel),12069656,Deutsche Bank,27704
12070000,Wittstock/Dosse,12068468,Deutsche Bank,27704
12070000,Zossen,12072477,Deutsche Bank,27704
12070024,Potsdam,12054000,Deutsche Bank,21704
12070024,Angermünde,12073008,Deutsche Bank,21704
12070024,Bad Freienwalde (Oder),12064044,Deutsche Bank,21704
12070024,Berlin,11000000,Deutsche Bank,21704
12070024,Bernau bei Berlin,12060020,Deutsche Bank,21704
12070024,Brandenburg an der Havel,12051000,Deutsche Bank,21704
12070024,Cottbus,12052000,Deutsche Bank,21704
12070024,Eberswalde,12060052,Deutsche Bank,21704
12070024,Eisenhüttenstadt,12067120,Deutsche Bank,21704
12070024,Falkensee,12063080,Deutsche Bank,21704
12070024,Finsterwalde,12062140,Deutsche Bank,21704
12070024,Forst (Lausitz),12071076,Deutsche Bank,21704
12070024,Frankfurt (Oder),12053000,Deutsche Bank,21704
12070024,Fürstenwalde/Spree,12067144,Deutsche Bank,21704
12070024,Gerdshagen,12070096,Deutsche Bank,21704
12070024,Guben,12071160,Deutsche Bank,21704
12070024,Hennigsdorf,12065136,Deutsche Bank,21704
12070024,Jüterbog,12072169,Deutsche Bank,21704
12070024,Kyritz,12068264,Deutsche Bank,21704
12070024,Königs Wusterhausen,12061260,Deutsche Bank,21704
12070024,Luckenwalde,12072232,Deutsche Bank,21704
12070024,Ludwigsfelde,12072240,Deutsche Bank,21704
12070024,Lübben (Spreewald),12061316,Deutsche Bank,21704
12070024,Nauen,12063208,Deutsche Bank,21704
12070024,Neuruppin,12068320,Deutsche Bank,21704
12070024,Oranienburg,12065256,Deutsche Bank,21704
12070024,Rathenow,12063252,Deutsche Bank,21704
12070024,Schwarzheide,12066296,Deutsche Bank,21704
12070024,Schwedt/Oder,12073532,Deutsche Bank,21704
12070024,Seelow,12064448,Deutsche Bank,21704
12070024,Senftenberg,12066304,Deutsche Bank,21704
12070024,Spremberg,12071372,Deutsche Bank,21704
12070024,Strausberg,12064472,Deutsche Bank,21704
12070024,Teltow,12069616,Deutsche Bank,21704
12070024,Weißwasser/O.L.,14626600,Deutsche Bank,21704
12070024,Werder (Havel),12069656,Deutsche Bank,21704
12070024,Wittstock/Dosse,12068468,Deutsche Bank,21704
12070024,Zossen,12072477,Deutsche Bank,21704
12070070,Potsdam,12054000,Deutsche Bank,
12070088,Potsdam,12054000,Deutsche Bank,
12070400,Cottbus,12052000,Postbank/DSL Ndl der Deutsche Bank,27400
12070424,Cottbus,12052000,Postbank/DSL Ndl der Deutsche Bank,21400
12080000,Berlin,11000000,Commerzbank vormals Dresdner Bank Filiale Berlin II,28120
12096597,Berlin,11000000,Sparda-Bank Berlin,91055
12096597,Aschersleben,15089015,Sparda-Bank Berlin,91055
12096597,Bautzen,14625020,Sparda-Bank Berlin,91055
12096597,Bergen auf Rügen,13073010,Sparda-Bank Berlin,91055
12096597,Berlin,11000000,Sparda-Bank Berlin (Gf P2),81055
12096597,Bernburg (Saale),15089030,Sparda-Bank Berlin,91055
12096597,Brandenburg an der Havel,12051000,Sparda-Bank Berlin,91055
12096597,Chemnitz,14511000,Sparda-Bank Berlin,91055
12096597,Cottbus,12052000,Sparda-Bank Berlin,91055
12096597,Delitzsch,14730070,Sparda-Bank Berlin,91055
12096597,Dessau-Roßlau,15001000,Sparda-Bank Berlin,91055
12096597,Dresden,14612000,Sparda-Bank Berlin,91055
12096597,Eisenach,07232218,Sparda-Bank Berlin,91055
12096597,Erfurt,16051000,Sparda-Bank Berlin,91055
12096597,Falkenberg,12064125,Sparda-Bank Berlin,91055
12096597,Frankfurt (Oder),12053000,Sparda-Bank Berlin,91055
12096597,Gera,16052000,Sparda-Bank Berlin,91055
12096597,Gotha,16067029,Sparda-Bank Berlin,91055
12096597,Greifswald,13075039,Sparda-Bank Berlin,91055
12096597,Güstrow,13072043,Sparda-Bank Berlin,91055
12096597,Görlitz,14626110,Sparda-Bank Berlin,91055
12096597,Halberstadt,15085135,Sparda-Bank Berlin,91055
