idx,first_name,sex
347,Birgitta,female
348,Birglinde,female
349,Birk,male
350,Birke,female
351,Birkhild,female
352,Birte,female
353,Birthe,female
354,Blanka,female
355,Blasius,male
356,Bodmar,male
357,Bodo,male
358,Bodomar,male
359,Bolko,male
360,Bonifaz,male
361,Boris,male
362,Borka,female
363,Borwin,male
364,Botho,male
365,Boto,male
366,Bozena,female
367,Brandolf,male
368,Branka,female
369,Brigitta,female
370,Brigitte,female
371,Bringfried,male
372,Bringfriede,female
373,Brit,female
374,Brita,female
375,Britt,female
376,Britta,female
377,Bruna,female
378,Brunhild,female
379,Brunhilda,female
380,Brunhilde,female
381,Brunhildis,female
382,Bruni,female
383,Bruno,male
384,Burchard,male
385,Burckhard,male
386,Burckhardt,male
387,Burga,female
388,Burgel,female
389,Burgfried,male
390,Burghard,male
391,Burghardt,male
392,Burghart,male
393,Burghild,female
394,Burghilde,female
395,Burgis,female
396,Burglind,female
397,Burglinde,female
398,Burgunda,female
399,Burgunde,female
400,Burkard,male
401,Burkardt,male
402,Burkhard,male
403,Burkhardt,male
404,Burkhart,male
405,Burkhild,female
406,Bärbel,female
407,Cai,male
408,Camilla,female
409,Canan,female
410,Caren,female
411,Carin,female
412,Carina,female
413,Carl,male
414,Carla,female
415,Carlheinz,male
416,Carmela,female
417,Carmen,female
418,Carmine,female
419,Carola,female
420,Carolin,female
421,Carolina,female
422,Caroline,female
423,Carsta,female
424,Carsten,male
425,Caspar,male
426,Caterina,female
427,Catharina,female
428,Catherina,female
429,Catherine,female
430,Cathleen,female
431,Cathrin,female
432,Catrin,female
433,Cay,male
434,Cecilia,female
435,Celia,female
436,Centa,female
437,Cersten,female
438,Cersten,male
439,Chantal,female
440,Charlotte,female
441,Chris,male
442,Christa,female
443,Christa-Maria,female
444,Christamaria,female
445,Christel,female
446,Christella,female
447,Christfried,male
448,Christfriede,female
449,Christhard,male
450,Christhardt,male
451,Christhart,male
452,Christhelm,male
453,Christhild,female
454,Christhilde,female
455,Christian,male
456,Christiana,female
457,Christiane,female
458,Christin,female
459,Christina,female
460,Christine,female
461,Christl,female
462,Christliebe,female
463,Christmut,male
464,Christof,male
465,Christoph,male
466,Christopher,male
467,Christopherus,male
468,Christophorus,male
469,Christsolde,female
470,Christward,male
471,Cilli,female
472,Cilly,female
473,Cindy,female
474,Cirsten,female
475,Claire,female
476,Clara,female
477,Clarissa,female
478,Claudia,female
479,Claudius,male
480,Claus,male
481,Clemens,male
482,Clementine,female
483,Clivia,female
484,Clotilde,female
485,Cläre,female
486,Concetta,female
487,Connie,female
488,Conny,female
489,Conrad,male
490,Constance,female
491,Constantin,male
492,Constanze,female
493,Cora,female
494,Corbinian,male
495,Cord,male
496,Cordelia,female
497,Cordian,male
498,Cordt,male
499,Cordula,female
500,Corina,female
501,Corinna,female
502,Corinne,female
503,Cornelia,female
504,Cornelius,male
505,Cornell,male
506,Cosima,female
507,Crescentia,female
508,Cristina,female
509,Cuno,male
510,Curd,male
511,Curt,male
512,Cynthia,female
513,Cyrill,male
514,Cäcilia,female
515,Cäcilie,female
516,Dagmar,female
517,Dagobert,male
518,Dagomar,male
519,Dahlia,female
520,Dajana,female
521,Damaris,female
522,Damian,male
523,Dana,female
524,Danica,female
525,Daniel,male
526,Daniela,female
527,Daniele,female
528,Danielle,female
529,Dankfried,male
530,Dankhard,male
531,Dankmar,male
532,Dankward,male
533,Dankwart,male
534,Danny,male
535,Danuta,female
536,Daphne,female
537,Daria,female
538,Darius,male
539,David,male
540,Debora,female
541,Deborah,female
542,Degenhard,male
543,Degenhardt,male
544,Degenhart,male
545,Dela,female
546,Delf,male
547,Delia,female
548,Denis,male
549,Denise,female
550,Dennis,male
551,Denny,male
552,Desiderius,male
553,Desiree,female
554,Dethard,male
555,Detlef,male
556,Detlev,male
557,Detmar,male
558,Detrich,male
559,Diana,female
560,Diane,female
561,Didi,male
562,Diemo,male
563,Diemut,female
564,Dierk,male
565,Dietbald,male
566,Dietbert,male
567,Dietburg,female
568,Dieter,male
569,Dieterich,male
570,Dietfried,male
571,Dietgar,male
572,Dietgard,female
573,Dietger,male
574,Diethard,male
575,Diethardt,male
576,Diethart,male
577,Diethelm,male
578,Diether,male
579,Diethild,female
580,Diethilde,female
581,Diethmar,male
582,Dietlind,female
583,Dietlinde,female
584,Dietmar,male
585,Dietmund,male
586,Dietmute,female
587,Dietolf,male
588,Dietram,male
589,Dietrich,male
590,Dietwald,male
591,Dietwalt,male
592,Dietwolf,male
593,Dietwulf,male
594,Dietz,male
595,Dimitri,male
596,Dina,female
597,Dinah,female
598,Dionys,male
599,Dirk,male
600,Ditmar,male
601,Dittmar,male
602,Dolores,female
603,Dominic,male
604,Dominik,male
605,Dominikus,male
606,Donat,male
607,Donata,female
608,Donate,female
609,Donatus,male
610,Dora,female
611,Doraline,female
612,Dorchen,female
613,Dore,female
614,Doreen,female
615,Dorena,female
616,Dorette,female
617,Dorina,female
618,Doris,female
619,Dorit,female
620,Dorith,female
621,Doritha,female
622,Doritta,female
623,Dorkas,female
624,Dorle,female
625,Dorlies,female
626,Dorlinde,female
627,Dorlis,female
628,Doro,female
629,Dorota,female
630,Dorothe,female
631,Dorothea,female
632,Dorothee,female
633,Dragica,female
634,Dunja,female
635,Dörte,female
636,Dörthe,female
637,Eberhard,male
638,Eberhardt,male
639,Eberhart,male
640,Eckard,male
641,Eckardt,male
642,Eckart,male
643,Eckbert,male
644,Eckehard,male
645,Eckehardt,male
646,Eckehart,male
647,Eckert,male
648,Eckfried,male
649,Eckhard,male
650,Eckhardt,male
651,Eckhart,male
652,Eckhold,male
653,Edda,female
654,Eddi,male
655,Edelbert,male
656,Edelburg,female
657,Edelfried,male
658,Edelfriede,female
659,Edelgard,female
660,Edelhard,male
661,Edelinde,female
662,Edelmut,male
663,Edeltraud,female
664,Edeltraude,female
665,Edeltraudt,female
666,Edeltraut,female
667,Edeltrud,female
668,Edeltrudis,female
669,Edelwald,male
670,Edgar,male
671,Edit,female
672,Edith,female
673,Editha,female
674,Edmar,male
675,Edmund,male
676,Eduard,male
677,Eduardt,male
678,Edwin,male
679,Edwina,female
680,Edwine,female
681,Effi,female
682,Egbert,male
683,Egidius,male
684,Eginald,male
685,Eginhard,male
686,Eginhardt,male
687,Egmont,male
688,Egomar,male
689,Egon,male
690,Ehrenfried,male
691,Ehrengard,female
692,Ehrenreich,male
693,Ehrentraud,female
694,Ehrentraut,female
695,Ehrentrud,female
696,Ehrentrudis,female
697,Ehrhard,male
698,Ehrhardt,male
699,Ehrmut,male
700,Eik,male
701,Eike,female
702,Eike,male
703,Eileen,female
704,Einhard,male
705,Einhardt,male
706,Eitelbert,male
707,Eitelfritz,male
708,Ekaterina,female
709,Ekhard,male
710,Ekhardt,male
711,Ekkard,male
712,Ekkardt,male
713,Ekkart,male
714,Ekkehard,male
715,Ekkehardt,male
716,Ekkehart,male
717,Ela,female
718,Elbert,male
719,Elena,female
720,Eleni,female
721,Elenore,female
722,Eleonora,female
723,Eleonore,female
724,Elfgard,female
725,Elfgund,female
726,Elfi,female
727,Elfie,female
728,Elfrieda,female
729,Elfriede,female
730,Elfrun,female
731,Elfy,female
732,Elgard,female
733,Elgine,female
734,Eli,female
735,Elia,female
736,Elif,female
737,Elisa,female
738,Elisabet,female
739,Elisabeth,female
740,Elisabetha,female
741,Elise,female
742,Elizabeth,female
743,Elke,female
744,Elkmar,male
745,Ella,female
746,Ellen,female
747,Ellengard,female
748,Ellentraud,female
749,Elli,female
750,Ellinor,female
751,Elly,female
752,Elma,female
753,Elmar,male
754,Elrike,female
755,Elsa,female
756,Elsabe,female
757,Elsbeth,female
758,Else,female
759,Elselore,female
760,Elselotte,female
761,Elsemarie,female
762,Elsgard,female
763,Elvira,female
764,Elvire,female
765,Elwine,female
766,Elwira,female
767,Elzbieta,female
768,Emanuel,male
769,Emeram,male
770,Emerich,male
771,Emil,male
772,Emilia,female
773,Emilie,female
774,Emine,female
775,Emma,female
776,Emmaliese,female
777,Emmeram,male
778,Emmeran,male
779,Emmerich,male
780,Emmi,female
781,Emmy,female
782,Engelbert,male
783,Engelberta,female
784,Engelbrecht,male
785,Engelhard,male
786,Engelhardt,male
787,Engelmar,male
788,Englbert,male
789,Enrico,male
790,Erdfried,male
791,Erdheide,female
792,Erdmann,male
793,Erdmute,female
794,Erdmuthe,female
795,Erdwin,male
796,Erfried,male
797,Erhard,male
798,Erhardt,male
799,Erhart,male
800,Eric,male
801,Erica,female
802,Erich,male
803,Erik,male
804,Erika,female
805,Erk,male
806,Erkhild,female
807,Erkmar,male
808,Erla,female
809,Erlfried,male
810,Erlgard,female
811,Erltrud,female
812,Erlwine,female
813,Ermelinde,female
814,Ermenfried,male
815,Ermenhild,female
816,Erna,female
817,Ernestine,female
818,Erni,male
819,Erno,male
820,Ernst,male
821,Ernstfried,male
822,Ernstine,female
823,Erwin,male
824,Ester,female
825,Esther,female
826,Etta,female
827,Eugen,male
828,Eugenia,female
829,Eugenie,female
830,Eunike,female
831,Eustachius,male
832,Eva,female
833,Eva-Maria,female
834,Eva-Marie,female
835,Evalinde,female
836,Evamaria,female
837,Evamarie,female
838,Evangelia,female
839,Evchen,female
840,Evelin,female
841,Evelinde,female
842,Eveline,female
843,Evelore,female
844,Evelyn,female
845,Evelyne,female
846,Evi,female
847,Ewa,female
848,Ewald,male
849,Ewalda,female
850,Eyck,male
851,Fabian,male
852,Fabiane,female
853,Fabienne,female
854,Fadime,female
855,Falk,male
856,Falkhard,male
857,Falkmar,male
858,Falko,male
859,Fanny,female
860,Fatima,female
861,Fatma,female
862,Fee,female
863,Feli,female
864,Felicia,female
865,Felicitas,female
866,Felix,male
867,Felizia,female
868,Felizitas,female
869,Ferdi,male
870,Ferdinand,male
871,Ferdinande,female
872,Ferdinandus,male
873,Ferfried,male
874,Ferhard,male
875,Ferhart,male
876,Fidelius,male
877,Filippina,female
878,Filiz,female
879,Finchen,female
880,Fine,female
881,Fini,female
882,Flora,female
883,Florence,female
884,Florentin,male
885,Florentine,female
886,Florentius,male
887,Florenz,male
888,Florian,male
889,Florine,female
890,Folker,male
891,Folkhard,male
892,Folkhardt,male
893,Folkhart,male
894,Folko,male
895,Follrich,male
896,Framhild,female
897,Franca,female
898,Francesca,female
899,Francoise,female
900,Frank,male
901,Franka,female
902,Frankmut,male
903,Franz,male
904,Franzi,female
905,Franziska,female
906,Franziskus,male
907,Franzl,male
908,Franzpeter,male
909,Frauke,female
910,Fred,male
911,Freddy,male
912,Frederike,female
913,Freia,female
914,Freimund,male
915,Freimut,male
916,Freimuth,male
917,Freiwald,male
918,Freya,female
919,Frida,female
920,Fridegund,female
921,Friderika,female
922,Friderike,female
923,Fridolin,male
924,Fridoline,female
925,Fridulf,male
926,Fried,male
927,Frieda,female
928,Friedbald,male
929,Friedberg,male
930,Friedbert,male
931,Friedburg,female
932,Friedebert,male
933,Friedeborg,female
934,Friedeborn,male
935,Friedeburg,female
936,Friedegard,female
937,Friedegund,female
938,Friedegunde,female
939,Friedel,male
940,Friedemann,male
941,Friedemar,male
942,Frieder,male
943,Friedericke,female
944,Friederike,female
945,Friederun,female
946,Friedewald,male
947,Friedgard,female
948,Friedhard,male
949,Friedhardt,male
950,Friedhart,male
951,Friedhelm,male
952,Friedhild,female
953,Friedhilde,female
954,Friedhold,male
955,Friedl,female
956,Friedl,male
957,Friedlenchen,female
958,Friedlieb,male
959,Friedlies,female
960,Friedliese,female
961,Friedlind,female
962,Friedlinde,female
963,Friedmar,male
964,Friedmut,male
965,Friedmuth,male
966,Friedolf,male
967,Friedolin,male
968,Friedoline,female
969,Friedrich,male
970,Friedrun,female
971,Friedwald,male
972,Friedwin,male
973,Frigga,female
974,Frithjof,male
975,Fritz,male
976,Fritzi,female
977,Frohlinde,female
978,Frohmund,male
979,Frohmut,female
980,Frohmut,male
981,Frohwald,male
982,Frowin,male
983,Frowine,female
984,Gabi,female
985,Gabriel,male
986,Gabriela,female
987,Gabriele,female
988,Gabriella,female
989,Gaby,female
990,Galina,female
991,Gangolf,male
992,Gebhard,male
993,Gebhart,male
994,Gefion,female
995,Gelbert,male
996,Genia,female
997,Genoveva,female
998,Georg,male
999,Georgia,female
1000,Georgine,female
1001,Gerald,male
1002,Geraldine,female
1003,Gerborg,female
1004,Gerburg,female
1005,Gerd,male
1006,Gerda,female
1007,Gerdfried,male
1008,Gerdhild,female
1009,Gerdhilde,female
1010,Gerdi,female
1011,Gerdt,male
1012,Gereon,male
1013,Gerfried,male
1014,Gerfriede,female
1015,Gerhard,male
1016,Gerhardt,male
1017,Gerhart,male
1018,Gerheide,female
1019,Gerhild,female
1020,Gerhilde,female
1021,Gerlach,male
1022,Gerlind,female
1023,Gerlinda,female
1024,Gerlinde,female
1025,German,male
1026,Germar,male
1027,Germo,male
1028,Germut,male
1029,Gernfried,male
1030,Gernod,male
1031,Gernot,male
1032,Gernulf,male
1033,Gero,male
1034,Gerold,male
1035,Gerolda,female
1036,Gerolf,male
1037,Gerrit,male
1038,Gerritdina,female
1039,Gert,male
1040,Gerta,female
1041,Gerthilde,female
1042,Gerthold,male
1043,Gerti,female
1044,Gertmund,male
1045,Gertraud,female
1046,Gertraude,female
1047,Gertraut,female
1048,Gertraute,female
1049,Gertrud,female
1050,Gertrude,female
1051,Gertrudis,female
1052,Gertrudt,female
1053,Gertwin,male
1054,Gerwald,male
1055,Gerwin,male
1056,Gesa,female
1057,Gesche,female
1058,Gesine,female
1059,Geza,female
1060,Giesbert,male
1061,Giesela,female
1062,Gieselind,female
1063,Gila,female
1064,Gilda,female
1065,Gina,female
1066,Giovanna,female
1067,Gisa,female
1068,Gisbert,male
1069,Gisela,female
1070,Giselbert,male
1071,Giselher,male
1072,Giselind,female
1073,Giseltraud,female
1074,Gislind,female
1075,Gislinde,female
1076,Gismar,male
1077,Gitta,female
1078,Gitte,female
1079,Gitti,female
1080,Giuseppina,female
1081,Gloria,female
1082,Godelind,female
1083,Godo,male
1084,Goldina,female
1085,Goldine,female
1086,Goldtraud,female
1087,Golo,male
1088,Gordana,female
1089,Gordian,male
1090,Goswin,male
1091,Gotelind,female
1092,Gotlind,female
1093,Gottfried,male
1094,Gottfrieda,female
1095,Gottfriede,female
1096,Gotthard,male
1097,Gotthardt,male
1098,Gotthart,male
1099,Gotthelf,male
1100,Gotthilf,male
1101,Gotthold,male
1102,Gottholde,female
1103,Gottlieb,male
1104,Gottlob,male
1105,Gottreich,male
1106,Gottwald,male
1107,Gottwaldt,male
1108,Gottwalt,male
1109,Grazyna,female
1110,Gregor,male
1111,Greta,female
1112,Gretchen,female
1113,Grete,female
1114,Gretel,female
1115,Gretl,female
1116,Gretlies,female
1117,Grimbert,male
1118,Griseldis,female
1119,Grit,female
1120,Gritt,female
1121,Gritta,female
1122,Gudrun,female
1123,Gudula,female
1124,Guido,male
1125,Gunda,female
1126,Gundel,female
1127,Gundela,female
1128,Gundemarie,female
1129,Gundhard,male
1130,Gundhart,male
1131,Gundhild,female
1132,Gundhilde,female
1133,Gundi,female
1134,Gundmar,male
1135,Gundolf,male
1136,Gundula,female
1137,Gunfried,male
1138,Gunhard,male
1139,Gunhild,female
1140,Gunhilde,female
1141,Gunnar,male
1142,Gunter,male
1143,Gunthard,male
1144,Gunther,male
1145,Gunthild,female
1146,Guntmar,male
1147,Guntram,male
1148,Gustav,male
1149,Gustel,female
1150,Gustel,male
1151,Gusti,female
1152,Gustl,female
1153,Gustl,male
1154,Gönül,female
1155,Gülay,female
1156,Gülsen,female
1157,Gülten,female
1158,Hadburg,female
1159,Hadmut,female
1160,Hadmuthe,female
1161,Hadubert,male
1162,Hadumod,female
1163,Hadwig,female
1164,Hagen,male
1165,Haimo,male
1166,Halina,female
1167,Hanfried,male
1168,Hanife,female
1169,Hanna,female
1170,Hannah,female
1171,Hannchen,female
1172,Hanne,female
1173,Hanne-Lore,female
1174,Hannegret,female
1175,Hannelene,female
1176,Hannelie,female
1177,Hanneliese,female
1178,Hannelore,female
1179,Hannelotte,female
1180,Hannemarie,female
1181,Hannerose,female
1182,Hannes,male
1183,Hannetraud,female
1184,Hanni,female
1185,Hannmeike,female
1186,Hanno,male
1187,Hanns,male
1188,Hannsgeorg,male
1189,Hannspeter,male
1190,Hanny,female
1191,Hans,male
1192,Hansdieter,male
1193,Hansfried,male
1194,Hansfriedrich,male
1195,Hansgeorg,male
1196,Hansgerd,male
1197,Hansheinz,male
1198,Hanshelmut,male
1199,Hanshermann,male
1200,Hansi,male
1201,Hansjakob,male
1202,Hansjoachim,male
1203,Hansjochen,male
1204,Hanskarl,male
1205,Hansl,male
1206,Hansludwig,male
1207,Hansmartin,male
1208,Hansotto,male
1209,Hanspeter,male
1210,Hanswalter,male
1211,Hanswerner,male
1212,Hanswilhelm,male
1213,Hanswolf,male
1214,Harald,male
1215,Haralda,female
1216,Harda,female
1217,Hardi,male
1218,Hardo,male
1219,Hardy,male
1220,Hariolf,male
1221,Harri,male
1222,Harribert,male
1223,Harriet,female
1224,Harro,male
1225,Harry,male
1226,Hartfried,male
1227,Hartger,male
1228,Hartlieb,male
1229,Hartmann,male
1230,Hartmund,male
1231,Hartmut,male
1232,Hartmuth,male
1233,Hartwald,male
1234,Hartwig,male
1235,Hartwin,male
1236,Hasko,male
1237,Hasso,male
1238,Hatice,female
1239,Hatto,male
1240,Haug,male
1241,Haymo,male
1242,Hedda,female
1243,Hedi,female
1244,Hedwig,female
1245,Hedy,female
1246,Heide,female
1247,Heide-Marie,female
1248,Heidebert,male
1249,Heidegard,female
1250,Heidegret,female
1251,Heidegunde,female
1252,Heidelies,female
1253,Heideliese,female
1254,Heidelind,female
1255,Heidelinde,female
1256,Heideline,female
1257,Heidelore,female
1258,Heidemaria,female
1259,Heidemarie,female
1260,Heiderich,male
1261,Heiderose,female
1262,Heidetraud,female
1263,Heidfried,male
1264,Heidi,female
1265,Heidrun,female
1266,Heidy,female
1267,Heike,female
1268,Heiko,male
1269,Heilmuth,male
1270,Heilwig,female
1271,Heilwig,male
1272,Heimar,male
1273,Heimbert,male
1274,Heimfrid,male
1275,Heimgard,female
1276,Heimhart,male
1277,Heimo,male
1278,Heimtraud,female
1279,Heimwald,male
1280,Heiner,male
1281,Heinfried,male
1282,Heini,male
1283,Heino,male
1284,Heinolf,male
1285,Heinrich,male
1286,Heintje,male
1287,Heinz,male
1288,Heinzdieter,male
1289,Heinzfried,male
1290,Heinzhermann,male
1291,Heinzkarl,male
1292,Heinzpeter,male
1293,Heinzwerner,male
1294,Helbert,male
1295,Helen,female
1296,Helena,female
1297,Helene,female
1298,Helfred,male
1299,Helfrid,male
1300,Helfried,male
1301,Helga,female
1302,Helgard,female
1303,Helge,male
1304,Helgert,male
1305,Helgomar,male
1306,Helgrid,female
1307,Heliane,female
1308,Hella,female
1309,Hellfried,male
1310,Hellgard,female
1311,Hellmut,male
1312,Hellmuth,male
1313,Helm,male
1314,Helma,female
1315,Helmar,male
1316,Helmbrecht,male
1317,Helmfried,male
1318,Helmgard,female
1319,Helmine,female
1320,Helmo,male
1321,Helmrich,male
1322,Helmtraud,female
1323,Helmtraut,female
1324,Helmtrud,female
1325,Helmut,male
1326,Helmuth,male
1327,Helmward,male
1328,Helrike,female
1329,Heltrud,female
1330,Helwart,male
1331,Helwig,male
1332,Helwin,male
1333,Hendrik,male
1334,Henni,female
1335,Henning,male
1336,Henny,female
1337,Henri,female
1338,Henriette,female
1339,Henrik,male
1340,Henrike,female
1341,Henry,male
1342,Herald,male
1343,Herbert,male
1344,Herfried,male
1345,Herger,male
1346,Heribert,male
1347,Herko,male
1348,Herlind,female
1349,Herlinde,female
1350,Herma,female
1351,Hermann,male
1352,Hermelinda,female
1353,Hermelinde,female
1354,Hermfried,male
1355,Hermi,female
1356,Hermine,female
1357,Herold,male
1358,Herrmann,male
1359,Herta,female
1360,Hertha,female
1361,Hertraud,female
1362,Herwald,male
1363,Herward,male
1364,Herwart,male
1365,Herwarth,male
1366,Herwig,male
1367,Herwiga,female
1368,Herzlinde,female
1369,Hetty,female
1370,Heyko,male
1371,Heyo,male
1372,Hieronimus,male
1373,Hieronymus,male
1374,Hilar,male
1375,Hilarius,male
1376,Hilda,female
1377,Hildburg,female
1378,Hildburga,female
1379,Hilde,female
1380,Hildebert,male
1381,Hildebrand,male
1382,Hildeburg,female
1383,Hildegard,female
1384,Hildegardt,female
1385,Hildegart,female
1386,Hildegund,female
1387,Hildegunde,female
1388,Hildelies,female
1389,Hildelind,female
1390,Hildemar,male
1391,Hildemarie,female
1392,Hilderose,female
1393,Hildetraud,female
1394,Hildmar,male
1395,Hildrun,female
1396,Hildtraud,female
1397,Hilfried,male
1398,Hilgrun,female
1399,Hilma,female
1400,Hilmar,male
1401,Hiltraud,female
1402,Hiltraut,female
1403,Hiltrud,female
1404,Hiltrude,female
1405,Hiltrun,female
1406,Hippolytus,male
1407,Hoimar,male
1408,Holdina,female
1409,Holger,male
1410,Holk,male
1411,Holle,female
1412,Holm,male
1413,Holmer,male
1414,Horst,male
1415,Horstfried,male
1416,Horstmar,male
1417,Hubert,male
1418,Huberta,female
1419,Hubertina,female
1420,Hubertine,female
1421,Hubertus,male
1422,Hugo,male
1423,Hulda,female
1424,Huldine,female
1425,Humbert,male
1426,Hülya,female
1427,Ida,female
1428,Idamarie,female
1429,Ignatia,female
1430,Ignatz,male
1431,Ignaz,male
1432,Ignazia,female
1433,Ildiko,female
1434,Ilka,female
