bic_8,bic,bank
GINDIDJ2,GINDIDJ2XXX,PT GROW INVESTMENTS INDONESIA
GNESIDJA,GNESIDJAXXX,PT. BANK GANESHA TBK
GOHOIDJ1,GOHOIDJ1XXX,PT. CGS INTERNATIONAL SEKURITAS INDONESIA
GOJKIDJA,GOJKIDJAXXX,PT GOTO GOJEK TOKOPEDIA TBK
GOSDIDJ1,GOSDIDJ1XXX,P.T. GOLDMAN SACHS INDONESIA
GSIEIDJ1,GSIEIDJ1XXX,PT. GOLDMAN SACHS INDONESIA SECURITIES
HAINIDJ1,HAINIDJ1XXX,PT BANK ICBC INDONESIA
HBNIIDJA,HBNIIDJAXXX,PT. BANK HIBANK INDONESIA
HENPIDJ1,HENPIDJ1XXX,PT HENAN PUTIHRAI
HNBNIDJA,HNBNIDJAXXX,PT. BANK KEB HANA INDONESIA
HSBCIDJA,HSBCIDJABAN,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJABAT,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJADCC,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJAMDN,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJASBA,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJASEM,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJAWBS,PT BANK HSBC INDONESIA
HSBCIDJA,HSBCIDJAXXX,PT BANK HSBC INDONESIA
HSSEIDJ1,HSSEIDJ1XXX,HSBC SECURITIES (INDONESIA) BIF WISMA DANAMON/AETNA LIFE
HVBKIDJA,HVBKIDJALCT,PT.BANK WOORI SAUDARA INDONESIA 1906 TBK
HVBKIDJA,HVBKIDJAXXX,PT.BANK WOORI SAUDARA INDONESIA 1906 TBK
IAPTIDJA,IAPTIDJAXXX,PT BANK INA PERDANA TBK
IBBKIDJA,IBBKIDJA001,PT BANK MAYBANK INDONESIA TBK
IBBKIDJA,IBBKIDJA003,PT BANK MAYBANK INDONESIA TBK
IBBKIDJA,IBBKIDJA008,PT BANK MAYBANK INDONESIA TBK
IBBKIDJA,IBBKIDJA138,PT BANK MAYBANK INDONESIA TBK
IBBKIDJA,IBBKIDJADEX,PT BANK MAYBANK INDONESIA TBK
IBBKIDJA,IBBKIDJATRS,PT BANK MAYBANK INDONESIA TBK
IBBKIDJA,IBBKIDJAXXX,PT BANK MAYBANK INDONESIA TBK
IBKOIDJA,IBKOIDJALCT,PT BANK IBK INDONESIA TBK
IBKOIDJA,IBKOIDJAXXX,PT BANK IBK INDONESIA TBK
IBSEIDJ1,IBSEIDJ1XXX,PT MACQUARIE SEKURITAS INDONESIA
ICBKIDJA,ICBKIDJAXXX,PT BANK ICBC INDONESIA
INDOIDJ2,INDOIDJ2BLN,BANK INDONESIA
INDOIDJ2,INDOIDJ2XXX,BANK INDONESIA
INDOIDJA,INDOIDJAXXX,BANK INDONESIA
INFEIDJ1,INFEIDJ1XXX,"INTI FIKASA SEKURINDO, PT"
INPUIDJ1,INPUIDJ1XXX,PT INDO PREMIER SEKURITAS
JAGBIDJA,JAGBIDJAXXX,PT BANK JAGO TBK.
KAPUIDJ1,KAPUIDJ1XXX,PT. JASA UTAMA CAPITAL (JUC)
KASDIDJ2,KASDIDJ2XXX,PT KAF SEKURITAS INDONESIA
KBNKIDJ1,KBNKIDJ1XXX,BANK KARMAN
KESBIDS1,KESBIDS1XXX,PT BANK QNB INDONESIA TBK
KESIIDJ1,KESIIDJ1XXX,"KESTREL SEKURITAS INDONESIA,PT"
KGSIIDJ2,KGSIIDJ2HQX,PT KGI SEKURITAS INDONESIA
KGSIIDJ2,KGSIIDJ2XXX,PT KGI SEKURITAS INDONESIA
KGSTIDJ1,KGSTIDJ1XXX,PT KRESNA GRAHA INVESTAMA TBK
KISIIDJ2,KISIIDJ2XXX,PT KOREA INVESTMENT AND SEKURITAS INDONESIA
KIWOIDJ2,KIWOIDJ2XXX,PT KIWOOM SEKURITAS INDONESIA
KMESIDJ1,KMESIDJ1XXX,PT. MAYBANK KIM ENG SEKURITAS
KSEIIDJA,KSEIIDJAXXX,PT KUSTODIAN SENTRAL EFEK INDONESIA
LAUSIDJ1,LAUSIDJ1XXX,PT LOTUS ANDALAN SEKURITAS
LIPSIDJ1,LIPSIDJ1XXX,LIPPO SECURITIES PT
MAASIDJ1,MAASIDJ1XXX,"MAHAKARYA ARTHA SEKURITAS, PT"
