bic_8,bic,bank
BOTKRUMM,BOTKRUMMXXX,JOINT STOCK COMPANY MUFG BANK (EURASIA)
BRATRU6B,BRATRU6BXXX,BRATSKY NARODNY BANK JSC
BRKCRUM1,BRKCRUM1XXX,BROKERCREDITSERVICE COMPANY LLC
BRNSRUM1,BRNSRUM1XXX,NBCO 'BRINKS'
BROORU21,BROORU21PTR,PUBLIC JOINT-STOCK COMPANY BANK UNITED FINANCIAL CAPITAL
BROORU21,BROORU21XXX,PUBLIC JOINT-STOCK COMPANY BANK UNITED FINANCIAL CAPITAL
BRRJRUM1,BRRJRUM1XXX,BRUNSWICK RUSSIA (JERSEY) LIMITED
BSAARU41,BSAARU41XXX,PUBLIC JOINT-STOCK COMPANY ROSCOMSNABBANK
BSBBRU51,BSBBRU51XXX,BST-BANK
BULGRU21,BULGRU21XXX,JOINT-STOCK COMPANY BULGAR BANK
BYJSRU33,BYJSRU33MOS,BYSTROBANK
BYJSRU33,BYJSRU33XXX,BYSTROBANK
CAAKRU21,CAAKRU21XXX,LIMITED LIABILITY COMPANY STAROOSKO COMMERCIAL AGROPROMBANK
CAIWRUMM,CAIWRUMMXXX,JSC MC BANK RUS
CBBORU8V,CBBORU8VAPK,JOINT-STOCK COMPANY COMMERCIAL BANK 'SUMMIT BANK'
CBBORU8V,CBBORU8VXXX,JOINT-STOCK COMPANY COMMERCIAL BANK 'SUMMIT BANK'
CBFIRU81,CBFIRU81XXX,FAR-EASTERN JOINT STOCK CMML BANK OF FISHERIES - DALRYBBANK
CBMWRUMM,CBMWRUMMXXX,JSC MOSCOMBANK
CBNNRUM1,CBNNRUM1GUB,NATIONAL STANDARD BANK (JOINT-STOCK COMPANY)
CBNNRUM1,CBNNRUM1NVR,NATIONAL STANDARD BANK (JOINT-STOCK COMPANY)
CBNNRUM1,CBNNRUM1SPB,NATIONAL STANDARD BANK (JOINT-STOCK COMPANY)
CBNNRUMM,CBNNRUMMXXX,NATIONAL STANDARD BANK (JOINT-STOCK COMPANY)
CBRFRUMM,CBRFRUMMXXX,CENTRAL BANK OF RUSSIAN FEDERATION
CCGNRUMM,CCGNRUMMXXX,CENTRAL COUNTERPARTY 'SPB CLEARING' (JOINT-STOCK COMPANY)
CCIVRU2R,CCIVRU2RXXX,PUBLIC JOINT-STOCK COMPANY COMMERCIAL BANK CENTER-INVEST
CECBRU2K,CECBRU2KXXX,INVESTMENT COOPERATIVE BANK JSC
CEPJRU22,CEPJRU22XXX,COMMERCIAL BANK 'SELMASHBANK' (PUBLIC JOINT-STOCK COMPANY)
CETBRUMM,CETBRUMMXXX,"CETELEM BANK, LLC"
