bic_8,bic,bank
FIOZCZP1,FIOZCZP1XXX,FIO BANKA A.S.
FIZLCZ21,FIZLCZ21XXX,ROKLEN360 A.S.
FNENCZP1,FNENCZP1XXX,J AND T FINANCE GROUP SE
FNSECZP1,FNSECZP1XXX,42 FINANCIAL SERVICES
GAUDCZP1,GAUDCZP1XXX,GAUDEA A.S.
GEBACZPP,GEBACZPPXXX,"BNP PARIBAS S.A., POBOCKA CESKA REPUBLIKA"
GENOCZ21,GENOCZ21XXX,VOLKSBANK RAIFFEISENBANK NORDOBERPFALZ EG POBOCKA CHEB
GIBACZPX,GIBACZPXXXX,CESKA SPORITELNA A.S.
GNRLCZPP,GNRLCZPPXXX,"GENERALI INVESTMENTS CEE, INV.SPOL,A.S."
HIBRCZP1,HIBRCZP1XXX,"HIGHSKY BROKERS, A. S."
HOIVCZP1,HOIVCZP1XXX,"EP ENERGY, A.S."
ICBKCZPP,ICBKCZPPXXX,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED, PRAGUE BRANCH, ODSTEPNY ZAVOD"
IGINCZP1,IGINCZP1XXX,"NN INVESTMENT PARTNERS C.R., A.S."
INEYCZP1,INEYCZP1XXX,"INVESTICNLSPOLECNOST CESKE SPORITELNY, A.S."
INGBCZPP,INGBCZPPXXX,ING BANK N.V.
INPKCZP1,INPKCZP1XXX,"AMUNDI CZECH REPUBLIC, INVESTICNI SPOLECNOST, A.S."
JTBPCZPP,JTBPCZPPXXX,J AND T BANKA A.S.
KEIECZP1,KEIECZP1XXX,KEY INVESTMENTS A.S.
KOLOCZP2,KOLOCZP2999,EUROPEAN SECUREPAY CENTER S.R.O.
KOLOCZP2,KOLOCZP2XXX,EUROPEAN SECUREPAY CENTER S.R.O.
KOMBCZPP,KOMBCZPPXXX,"KOMERCNI BANKA, A.S."
LIMOCZ21,LIMOCZ21BRA,"LASALLE INVESTMENT MANAGEMENT, ORGANIZACNI SLOZKA"
LIMOCZ21,LIMOCZ21XXX,"LASALLE INVESTMENT MANAGEMENT, ORGANIZACNI SLOZKA"
LYOSCZP1,LYOSCZP1XXX,"LYNX B.V., ORGANIZACNI SLOZKA"
MERXCZ21,MERXCZ21XXX,MERX A.S.
MFCRCZP1,MFCRCZP1XXX,MINISTRY OF FINANCE OF THE CZECH REPUBLIC
MIDLCZPP,MIDLCZPPSDD,HSBC CONTINENTAL EUROPE
MIDLCZPP,MIDLCZPPXXX,HSBC CONTINENTAL EUROPE
MOHRCZP1,MOHRCZP1XXX,MONEY CHANGE S.R.O.
MOUSCZP2,MOUSCZP2XXX,MONEYPOLO EUROPE S.R.O.
MPUBCZPP,MPUBCZPPXXX,TRINITY BANK A.S.
MRSOCZ22,MRSOCZ22XXX,MORTONS S.R.O.
NROZCZPP,NROZCZPPXXX,"NARODNI ROZVOJOVA BANKA, A.S."
OBKLCZ2X,OBKLCZ2XXXX,OBERBANK AG
PADICZP1,PADICZP1XXX,"PATRIA FINANCE, A.S."
PADICZPP,PADICZPPXXX,"PATRIA FINANCE, A.S."
PAERCZP1,PAERCZP1CMB,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1DEU,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1ETF,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1ING,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1POF,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1PRG,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1UBS,PAYMENT EXECUTION S.R.O.
PAERCZP1,PAERCZP1XXX,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPCOR,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPFIN,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPGEN,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPGLB,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPINT,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPMON,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPPAY,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPPRG,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPVAL,PAYMENT EXECUTION S.R.O.
PAERCZPP,PAERCZPPXXX,PAYMENT EXECUTION S.R.O.
PANXCZP2,PANXCZP2XXX,"UNIFIEDPOST PAYMENTS S.A., ODSTEPNY ZAVOD"
PAPOCZP2,PAPOCZP2XXX,PP MONEY TRANSFER S.R.O.
PAVSCZP1,PAVSCZP1XXX,"PARTNERS INVESTICNI SPOLECNOST, A.S"
PISPCZP1,PISPCZP1XXX,"AMUNDI CZECH REPUBLIC, INVESTICNI SPOLECNOST A.S."
PLBACZP1,PLBACZP1XXX,"PLZENSKA BANKA, A.S."
PLIRCZ22,PLIRCZ22XXX,PLATEBNI INSTITUCE ROGER A.S.
PMBPCZPP,PMBPCZPPXXX,PPF BANKA A.S.
PPAMCZP1,PPAMCZP1XXX,"GENERALI INVESTMENTS CEE, INVESTICNI SPOLECNOST, A.S."
PRNICZP1,PRNICZP1XXX,PROVENTUS FINANCE A.S.
PTBNCZP2,PTBNCZP2XXX,"PARTNERS BANKA, A.S."
PTBNCZPP,PTBNCZPPXXX,"PARTNERS BANKA, A.S."
PYYMCZPP,PYYMCZPPXXX,PAYMASTER A.S.
RIOLCZP1,RIOLCZP1XXX,RELIANTCO INVESTMENTS LTD ORGANIZACNI SLOZKA
RMHOCZP1,RMHOCZP1XXX,"RMS MEZZANINE, A.S."
RMSYCZP1,RMSYCZP1XXX,"RM-SYSTEM, A.S."
ROKECZP2,ROKECZP2XXX,ROKLEN360 A.S.
RSIVCZ21,RSIVCZ21XXX,"RSJ INVEST,A.S."
RSSOCZ21,RSSOCZ21XXX,RASSHUA S.R.O.
RZBCCZPP,RZBCCZPPXXX,RAIFFEISENBANK A.S.
SAXPCZP1,SAXPCZP1XXX,"SAXO BANK A/S, ORGANIZACNI SLOZKA"
SBFNCZP2,SBFNCZP2XXX,SAB FINANCE A.S.
SEESCZP1,SEESCZP1XXX,BH SECURITIES A.S.
SKENCZ21,SKENCZ21XXX,SKO ENERGO
SKOACZ21,SKOACZ21XXX,SKODA AUTO A.S.
SMTLCZP2,SMTLCZP2XXX,CREA PAY S.R.O.
SUBACZPP,SUBACZPPXXX,"VSEOBECNA UVEROVA BANKA A.S., POBOCKA PRAHA"
TOSOCZP1,TOSOCZP1XXX,TOTAL SOLUTIONS S.R.O.
TRBDCZP1,TRBDCZP1XXX,"X-TRADE BROKERS DOM MAKLERSKI SPOLKA AKCYJNA, ORGANIZACNI SLOZKA"
UNIYCZPA,UNIYCZPAXXX,"CENTRALNI DEPOZITAR CENNYCH PAPIRU, A.S."
UNIYCZPP,UNIYCZPPXXX,"CENTRALNI DEPOZITAR CENNYCH PAPIRU, A.S."
VBOECZ2X,VBOECZ2XXXX,"SBERBANK CZ, A.S. V LIKVIDACI"
VESECZP1,VESECZP1XXX,"BCRL, S.R.O."
VPAYCZP2,VPAYCZP2XXX,VIVA PAYMENT SERVICES S.A. ODSTEPNY ZAVOD
WCISCZP1,WCISCZP1XXX,"WOOD AND COMPANY INVESTICNI SPOLECNOST, A.S."
WERRCZ21,WERRCZ21XXX,WEST BROKERS A.S.
WEUICZP1,WEUICZP1XXX,WESTERN UNION INTERNATIONAL BANK
WOODCZPP,WOODCZPPXXX,WOOD AND COMPANY
XPRACZP1,XPRACZP1XXX,"PRAGUE STOCK EXCHANGE, A.S."
ZFPICZP1,ZFPICZP1XXX,"ZFP INVESTMENTS INVESTICNI SPOLECNOST, A.S."
