bic_8,bic,bank
AFFSSTST,AFFSSTSTXXX,AFRILAND FIRST BANK STP
BGFISTST,BGFISTSTXXX,BGFIBANK SAO TOME ET PRINCIPE
BNSTSTS1,BNSTSTS1XXX,BANCO CENTRAL DE SAO TOME E PRINCIPE
CSTPSTST,CSTPSTSTXXX,BANCO CENTRAL DE SAO TOME E PRINCIPE
ECOCSTST,ECOCSTSTXXX,ECOBANK SAO TOME
ESTPSTST,ESTPSTSTXXX,ENERGYBANK SAO TOME E PRINCIPE S.A
GTISSTST,GTISSTSTXXX,GTI BANK SARL
INOISTST,INOISTSTXXX,BANCO INTERNACIONAL DE SAO TOME E PRINCIPE
