bic_8,bic,bank
APOPDOSX,APOPDOSXXXX,ASOCIACION POPULAR DE AHORROS Y PRESTAMOS (APAP)
ARAODOS1,ARAODOS1XXX,ASOCIACION ROMANA DE AHORROS Y PRESTAMOS
ARCVDOS1,ARCVDOS1XXX,"AGENTE DE REMESAS Y CAMBIO VIMENCA, S.A"
BAACDOS1,BAACDOS1XXX,"BANCO ATLANTICO DE AHORRO Y CREDITO, S.A."
BAACDOSD,BAACDOSDXXX,"BANCO ATLANTICO DE AHORRO Y CREDITO, S.A."
BACGDOS1,BACGDOS1XXX,BANCO DE AHORRO Y CREDITO GRUFICORP S.A.
BADODOS1,BADODOS1XXX,BONANZA BANCO DE AHORRO Y CREDITO
BAGRDOS1,BAGRDOS1XXX,BANCO AGRICOLA DE LA REPUBLICA DOMINICANA
BAGRDOSA,BAGRDOSAXXX,BANCO AGRICOLA DE LA REPUBLICA DOMINICANA
BANSDOSD,BANSDOSDXXX,"BANESCO BANCO MULTIPLE, S. A."
BBDIDOSD,BBDIDOSDXXX,"BANCO MULTIPLE BDI, S.A."
BCBHDOSD,BCBHDOSDXXX,BANCO MULTIPLE BHD S.A.
BCCEDOSD,BCCEDOSDXXX,BANCO MULTIPLE LAFISE S.A.
BCRDDOSX,BCRDDOSXOMA,CENTRAL BANK OF THE DOMINICAN REPUBLIC
BCRDDOSX,BCRDDOSXSBC,CENTRAL BANK OF THE DOMINICAN REPUBLIC
BCRDDOSX,BCRDDOSXXXX,CENTRAL BANK OF THE DOMINICAN REPUBLIC
BCVIDOS1,BCVIDOS1XXX,AGENTE DE CAMBIO VIMENCA
BELNDOSD,BELNDOSDXXX,"BANCO MULTIPLE JMMB BANK, SA."
BHDVDOSD,BHDVDOSDXXX,"BHD LEON PUESTO DE BOLSA, S. A."
BLDHDOSD,BLDHDOSDXXX,"BANCO MULTIPLE LOPEZ DE HARO, S.A."
BNVPDOS1,BNVPDOS1XXX,BANCO NACIONAL DE LAS EXPORTACIONES (BANDEX)
BODSDOS1,BODSDOS1XXX,"BANCO CONTINENTAL DE DESARROLLO,S.A"
BPDODOSX,BPDODOSXREM,"BANCO POPULAR DOMINICANO, S.A. BANCO MULTIPLE"
BPDODOSX,BPDODOSXXXX,"BANCO POPULAR DOMINICANO, S.A. BANCO MULTIPLE"
BPYMDOS1,BPYMDOS1XXX,BANCO MULTIPLE BHD LEON SA
BRRDDOSD,BRRDDOSDXXX,BANCO DE RESERVAS DE LA REPUBLICA DOMINICANA
BVPODOS1,BVPODOS1XXX,BITACORA VALORES PUESTO DE BOLSA
CAHCDOS1,CAHCDOS1XXX,"BANCO DOMINICANO DEL PROGRESO, S.A. BANCO MULTIP"
CCEEDOS1,CCEEDOS1XXX,CORPORACION DE CREDITO EL EFECTIVO
CCLCDOS1,CCLCDOS1XXX,"LEASING CONFISA,BANCO DE AHORRO Y CREDITO S.A."
CCLCDOSM,CCLCDOSMXXX,"LEASING CONFISA,BANCO DE AHORRO Y CREDITO S.A."
