bic_8,bic,bank
DABADKKK,DABADKKKLYN,DANSKE BANK A/S
DABADKKK,DABADKKKMID,DANSKE BANK A/S
DABADKKK,DABADKKKNAE,DANSKE BANK A/S
DABADKKK,DABADKKKNAK,DANSKE BANK A/S
DABADKKK,DABADKKKNYB,DANSKE BANK A/S
DABADKKK,DABADKKKNYF,DANSKE BANK A/S
DABADKKK,DABADKKKNYS,DANSKE BANK A/S
DABADKKK,DABADKKKODE,DANSKE BANK A/S
DABADKKK,DABADKKKRAN,DANSKE BANK A/S
DABADKKK,DABADKKKRIN,DANSKE BANK A/S
DABADKKK,DABADKKKROD,DANSKE BANK A/S
DABADKKK,DABADKKKRON,DANSKE BANK A/S
DABADKKK,DABADKKKROS,DANSKE BANK A/S
DABADKKK,DABADKKKSBY,DANSKE BANK A/S
DABADKKK,DABADKKKSIL,DANSKE BANK A/S
DABADKKK,DABADKKKSKB,DANSKE BANK A/S
DABADKKK,DABADKKKSKI,DANSKE BANK A/S
DABADKKK,DABADKKKSLA,DANSKE BANK A/S
DABADKKK,DABADKKKSLS,DANSKE BANK A/S
DABADKKK,DABADKKKSON,DANSKE BANK A/S
DABADKKK,DABADKKKSTR,DANSKE BANK A/S
DABADKKK,DABADKKKSVB,DANSKE BANK A/S
DABADKKK,DABADKKKTAA,DANSKE BANK A/S
DABADKKK,DABADKKKTHI,DANSKE BANK A/S
DABADKKK,DABADKKKTIP,DANSKE BANK A/S
DABADKKK,DABADKKKTON,DANSKE BANK A/S
DABADKKK,DABADKKKVAR,DANSKE BANK A/S
DABADKKK,DABADKKKVEJ,DANSKE BANK A/S
DABADKKK,DABADKKKVIB,DANSKE BANK A/S
DABADKKK,DABADKKKXXX,DANSKE BANK A/S
DACDDK2A,DACDDK2AXXX,DANSKE COMMODITIES A/S
DACPDKK1,DACPDKK1XXX,DANSKE BANK A/S
DAFKDK21,DAFKDK21XXX,FORSIKRINGSSELSKABET DANICA SKADEFORSIKRINGSAKTIESELSKAB AF
DAKFDK21,DAKFDK21XXX,DKF INVEST A/S
DANBDK22,DANBDK22EUR,DANSKE ANDELSKASSERS BANK A/S
DANBDK22,DANBDK22TST,DANSKE ANDELSKASSERS BANK A/S
DANBDK22,DANBDK22XXX,DANSKE ANDELSKASSERS BANK A/S
DAOFDK21,DAOFDK21XXX,DANSK O.T.C FONDSMAEGLERSELSKAB A/S
DCAKDKK1,DCAKDKK1XXX,DANSKE CIVIL- OG AKADEMIINGENIORERS PENSIONSKASSE
DEPRDKK1,DEPRDKK1AOP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1EMA,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GA2,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GAM,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GAP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GIM,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GO1,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GO2,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1KEO,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1KOF,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1MKM,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1MKP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1MOP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1SGA,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1XXX,KAPITALFORENINGEN LD
DETRDKK1,DETRDKK1XXX,THE DANISH EMISSION TRADING REGISTRY DANISH ENERGY AGENCY
DFIIDK21,DFIIDK21XXX,FORMUE- AND INVESTERINGSPLE INVESTERINGSPLEJE A/S FONDSMAEGLERSELSKAB
DJURDK22,DJURDK22DKK,DJURSLANDS BANK AS
DJURDK22,DJURDK22EUR,DJURSLANDS BANK AS
DJURDK22,DJURDK22XXX,DJURSLANDS BANK AS
DKNBDKKD,DKNBDKKDXXX,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKASA,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKBAC,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKBIL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKCD7,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKCHA,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKDEP,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKEAC,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKECO,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKEUR,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKFEE,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKFOL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKGOV,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKIMF,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKINP,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKINR,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKLAD,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKLAL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKMIG,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKMP3,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKMPL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKNKB,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKPLL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKRTG,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKS2T,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKSKB,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKT2S,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKTIA,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKTIP,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKTST,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKXXX,DANMARKS NATIONALBANK
DLKRDKK1,DLKRDKK1XXX,DLR KREDIT A/S
DLKRDKK2,DLKRDKK2XXX,DLR KREDIT A/S
DNBADKKX,DNBADKKXCLS,"DNB BANK ASA, FILIAL AF DNB BANK ASA, NORGE"
DNBADKKX,DNBADKKXTGT,"DNB BANK ASA, FILIAL AF DNB BANK ASA, NORGE"
DNBADKKX,DNBADKKXXXX,"DNB BANK ASA, FILIAL AF DNB BANK ASA, NORGE"
DRAGDK21,DRAGDK21XXX,DRAGSHOLM SPAREKASSE
EGNSDK21,EGNSDK21XXX,EGNSINVEST HOLDING A/S
ERPPDKK2,ERPPDKK2XXX,EURODOLLAR APS
ESSEDK22,ESSEDK22XXX,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKABC,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKAC1,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKCAL,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKCLS,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKCST,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKENS,SKANDINAVISKA ENSKILDA BANKEN
ESSEDKKK,ESSEDKKKXXX,SKANDINAVISKA ENSKILDA BANKEN
FAANDK21,FAANDK21XXX,FASTER ANDELKASSE
FAELDKK1,FAELDKK1XXX,ANDELSKASSEN FAELLESKASSEN
FASLDK21,FASLDK21XXX,FANOE SPARE- OG LAANEKASSE
FATIDK22,FATIDK22XXX,FACIT BANK A/S
FDDDDK21,FDDDDK21FDB,COOP BANK A/S
FDDDDK21,FDDDDK21XXX,COOP BANK A/S
FIRKDKK2,FIRKDKK2XXX,FINANS DANMARK
FLAKDK21,FLAKDK21XXX,FLAKKEBJERG OG OMEGNS SPAREKASSES FOND
FOCCDK21,FOCCDK21BIO,FORCA A/S
FOCCDK21,FOCCDK21ERG,FORCA A/S
FOCCDK21,FOCCDK21FAR,FORCA A/S
FOCCDK21,FOCCDK21JOR,FORCA A/S
FOCCDK21,FOCCDK21KON,FORCA A/S
FOCCDK21,FOCCDK21KOS,FORCA A/S
FOCCDK21,FOCCDK21LAG,FORCA A/S
FOCCDK21,FOCCDK21PKA,FORCA A/S
FOCCDK21,FOCCDK21SAM,FORCA A/S
FOCCDK21,FOCCDK21SOC,FORCA A/S
FOCCDK21,FOCCDK21SYG,FORCA A/S
FOCCDK21,FOCCDK21XXX,FORCA A/S
FOCCDK22,FOCCDK22XXX,FORCA A/S
FOCMDK21,FOCMDK21XXX,NE FONDSMAEGLERSELSKAB A/S (NE CAPITAL MANAGEMENT A/S)
FOLPDKK2,FOLPDKK2XXX,FORVALTNINGSINSTITUTTET FOR LOKALE PENGEINSTITUTTER
FOMEDK22,FOMEDK22XXX,FONDSMAEGLERSELSKABET MARSELIS A/S
FONKDKKK,FONKDKKKXXX,FONDSMAEGLERSELSKABET MAJ INVEST A/S
FONMDKK1,FONMDKK1XXX,HP FONDSMAEGLERSELSKAB A/S
FORJDK21,FORJDK21XXX,FORMUEPLEJE A/S
FRMODK21,FRMODK21XXX,FROSLEV MOLLERUP SPAREKASSE
FROPDK21,FROPDK21XXX,FRORUP ANDELKASSE
FROSDK21,FROSDK21XXX,SYDJYSK SPAREKASSE
FTSBDKKK,FTSBDKKKXXX,BNP PARIBAS S.A. DENMARK FILIAL AF BNP PARIBAS S.A. FRANKRIG
GEVODK22,GEVODK22XXX,GLOBAL EVOLUTION ASSET MANAGEMENT A/S
GRPBDKK1,GRPBDKK1XXX,GUDME RAASCHOU BANK A/S
HEBODK21,HEBODK21XXX,ALM. BRAND BANK A/S
HUSPDK21,HUSPDK21XXX,HUNSTRUP-OESTERILD SPAREKASSE
HVBADK21,HVBADK21XXX,HVIDBJERG BANK
IADMDK21,IADMDK21XXX,INVEST ADMINISTRATION A/S
INNHDKK1,INNHDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - VIRKSOMHEDSOBLIGATIONER KL
INNJDKK1,INNJDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - KLIMA OG MILJO KL
INUKDKK1,INUKDKK1XXX,INVESTERINGSFORENINGEN MS INVEST
IOEGDKK1,IOEGDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - KORTE OBLIGATIONER
IOEKDKK1,IOEKDKK1XXX,VARDIPAPIRFONDEN NORDEA INVEST PORTEFOLJE - KORTE OBLIGATIONER
IOEMDKK2,IOEMDKK2XXX,INVESTERINGSFORENINGEN NORDEA INVEST EMERGING MARKETS ENHANCED KL
IOENDKK1,IOENDKK1XXX,VARDIPAPIRFONDEN NORDEA INVEST - PORTEFOLJE LANGE OBLIGATIONER
IOEODKK1,IOEODKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - KORTE OBLIGATIONER KL
IOERDKK1,IOERDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - MELLEMLANGE OBLIGATIONER
IOEVDKK1,IOEVDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - BASIS 4 KL
IOIDDKK1,IOIDDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - DANMARK KL
IOIEDKK1,IOIEDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - EUROPA KL
IOIFDKK1,IOIFDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - FONDE KL
IOIIDKK1,IOIIDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - STABIL BALANCERET KL
IOIJDKK1,IOIJDKK1XXX,OBLIGATIONER TO VAERDIPAPIRFONDEN NORDEA INVEST PORTEFOLJE - FLEKSIBEL OBLIGATIONER
IOILDKK1,IOILDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST GLOBALE OBLIGATIONER KL
IOIODKK1,IOIODKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST NORDIC SMALL CAP KL
IOIPDKK1,IOIPDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST SPECIAL EUROPAEISKE AKTIER FOKUS
IOISDKK1,IOISDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - EUROPEAN HIGH YIELD BONDS KL
IOITDKK1,IOITDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - AKTIER II KL
IOIUDKK1,IOIUDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - EUROPA SMALL CAP KL
IONBDKK1,IONBDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - OBLIGATIONER
IONDDKK1,IONDDKK1XXX,INVESTERINGSFORENINGEN NORDEA INV EST-VERDENS OBLIGATIONSMARKEDER KL
IONGDKK1,IONGDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - GLOBAL SMALL CAP KL
IONIDKK1,IONIDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST-KINA KL
IONKDKK1,IONKDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST-KORTE OBLIGATIONER KL
IONLDKK1,IONLDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - GLOBALE AKTIER INDEKS KL
IONMDKK1,IONMDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - EMERGING MARKETS KL
IONNDKK1,IONNDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - INDIEN KL
IONODKK1,IONODKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST OSTEUROPA KL
IONRDKK1,IONRDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVESTGLOBALE AKTIER FOKUS
IONUDKK1,IONUDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST-USA KL
IONVDKK1,IONVDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - BASIS 2 KL
IOONDKK1,IOONDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - BASIS 3 KL
IOPFDKK1,IOPFDKK1XXX,VAERDIPAPIRFONDEN NORDEA INVEST PORTEFOLJE - FLEKSIBEL
IOVCDKK1,IOVCDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - CORPORATE BONDS
IOVGDKK1,IOVGDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - GLOBAL HIGH YIELD
IOVIDKK1,IOVIDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - INTERNATIONALE AKTIER
IOVKDKK1,IOVKDKK1XXX,VARDIPAPIRFONDEN NORDEA INVEST - PORTEFOLJE AKTIER
IOVLDKK1,IOVLDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - LANGE OBLIGATIONER KL
IOVMDKK1,IOVMDKK1XXX,VAERDIPAPIRFONDEN NORDEA INVEST PORTEFOLJE- AKTIER STRATEGI
IOVNDKK1,IOVNDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - BASIS 1 KL
IOVODKK1,IOVODKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - GLOBALE STABILE AKTIER - ETISK TILVALG
IOVTDKK1,IOVTDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST ENGROS - INTERNATIONALE AKTIER - ETISK TILVALG
IOVVDKK1,IOVVDKK1XXX,VARDIPAPIRFONDEN NORDEA INVEST - PORTEFOLJE VERDENS OBLIGATIONSMARKEDER
ISNKDKK1,ISNKDKK1XXX,BASISBANK A/S
ITRYDK21,ITRYDK21XXX,FONDSMAEGLERSELSKABET INVESTERING AND TRYGHED A/S
IVNIDKK1,IVNIDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - AKTIER KL
IVNVDKK1,IVNVDKK1XXX,INVESTERINGSFORENINGEN NORDEA INVEST - JAPAN KL
IVPIDK21,IVPIDK21XXX,INVESTERINGSFORENINGEN PFA INVEST
IVSNDKK1,IVSNDKK1XXX,INVESTERINGSFORVALLTNINGSSELS KABET SEBINVEST A/S
JANPDKK2,JANPDKK2XXX,JANUAR APS
JAOEDK21,JAOEDK21XXX,J.A.K. ANDELSKASSE OESTERVRAA
JELLDK21,JELLDK21XXX,DEN JYSKE SPAREKASSE A/S
JYBADK21,JYBADK21CTM,JYSKE BANK A/S
JYBADK21,JYBADK21XXX,JYSKE BANK A/S
JYBADKKK,JYBADKKKDKK,JYSKE BANK A/S
JYBADKKK,JYBADKKKEUR,JYSKE BANK A/S
JYBADKKK,JYBADKKKTIP,JYSKE BANK A/S
JYBADKKK,JYBADKKKXXX,JYSKE BANK A/S
KAAIDK21,KAAIDK21XXX,KAPITALFORENINGEN ABSALON INVEST
KAIFDK21,KAIFDK21XXX,KAPITALFORENINGEN ABSALON INVEST VERDENSAKTIEINDEKS KL
KFPFDK21,KFPFDK21XXX,KAPITALFORENINGEN FORMUEPLEJE PENTA FORMUEPLEJE PENTA KL
KLIMDK21,KLIMDK21XXX,KLIM SPAREKASSE
KOMMDKK1,KOMMDKK1XXX,KOMMUNEKREDIT
KOMSDK22,KOMSDK22VED,KOMPASBANK A/S
KOMSDK22,KOMSDK22XXX,KOMPASBANK A/S
KRONDK22,KRONDK22EU1,SPAREKASSEN KRONJYLLAND
KRONDK22,KRONDK22XXX,SPAREKASSEN KRONJYLLAND
KRONDK22,KRONDK22ZZ9,SPAREKASSEN KRONJYLLAND
LAFIDKK1,LAFIDKK1XXX,LANDBRUGETS FINANSIERINGSINSTITUT A/S
LCAIDK21,LCAIDK21XXX,LIND CAPITAL A/S
