bic_8,bic,bank
CAGAMY21,CAGAMY21XXX,CAGAMAS BERHAD - SPI
CAGAMYKL,CAGAMYKLXXX,CAGAMAS BERHAD
CANHMYKL,CANHMYKLXXX,CIMB-PRINCIPAL ASSET MANAGEMENT BERHAD
CHASMY21,CHASMY21XXX,J.P. MORGAN SECURITIES (MALAYSIA) SDN BHD
CHASMY2A,CHASMY2AXXX,"JPMORGAN CHASE BANK, N.A. - LABUAN BRANCH"
CHASMYKX,CHASMYKXSEC,J.P. MORGAN CHASE BANK BERHAD
CHASMYKX,CHASMYKXXXX,J.P. MORGAN CHASE BANK BERHAD
CHASMYL1,CHASMYL1XXX,J.P. MORGAN CHASE BANK BERHAD
CIBBMY2L,CIBBMY2LXXX,"CIMB BANK BERHAD, LABUAN OFFSHORE BRANCH"
CIBBMYKA,CIBBMYKAXXX,CIMB BANK (L) LIMITED
CIBBMYKL,CIBBMYKLSBL,CIMB BANK BERHAD
CIBBMYKL,CIBBMYKLXXX,CIMB BANK BERHAD
CIMFMYK1,CIMFMYK1XXX,CIMB FUTURES SDN BHD
CINBMY21,CINBMY21XXX,CAPITAL INVESTMENT BANK (LABUAN) LIMITED (CIB LABUAN)
CITIMY21,CITIMY21XXX,CITIGROUP GLOBAL MARKET MALAYSIA SDN BHD
CITIMYKL,CITIMYKLCTI,CITIBANK BERHAD
CITIMYKL,CITIMYKLJOD,CITIBANK BERHAD
CITIMYKL,CITIMYKLLAB,CITIBANK BERHAD
CITIMYKL,CITIMYKLPEN,CITIBANK BERHAD
CITIMYKL,CITIMYKLXXX,CITIBANK BERHAD
CITIMYM1,CITIMYM1XXX,CITIBANK BERHAD
CLSAMYK1,CLSAMYK1XXX,CLSA SECURITIES MALAYSIA SDN. BHD.
COIMMY21,COIMMY21XXX,CIMB INVESTMENT BANK BERHAD
COIMMYKL,COIMMYKLXXX,CIMB INVESTMENT BANK BERHAD
CRESMYKL,CRESMYKLXXX,CREDIT SUISSE SECURITIES (MALAYSIA) SDN. BHD.
CSFBMYK1,CSFBMYK1XXX,CREDIT SUISSE SECURITIES (MALAYSIA) SDN. BHD.
CSMSMYK1,CSMSMYK1XXX,CLSA SECURITIES MALAYSIA SDN. BHD
CTBBMYKL,CTBBMYKLXXX,CIMB ISLAMIC BANK BERHAD
DAICMYK1,DAICMYK1XXX,THE DAIWA SECURITIES INTERNATIONAL (H.K.) LTD
DBSSMY2A,DBSSMY2AXXX,"DBS BANK LTD, LABUAN BRANCH"
DEUTMY21,DEUTMY21XXX,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLBLB,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLDFS,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLF4C,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLF4R,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLGMO,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLIBW,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLISB,DEUTSCHE BANK (MALAYSIA) BERHAD
DEUTMYKL,DEUTMYKLXXX,DEUTSCHE BANK (MALAYSIA) BERHAD
ECMLMYKL,ECMLMYKLXXX,KENANGA INVESTMENT BANK BERHAD
ESSHMYK1,ESSHMYK1XXX,EONCAP SECURITIES SDN BHD
EUIEMY22,EUIEMY22XXX,EUROPE-ASIA INVESTMENT BANK LIMITED
EXMBMY21,EXMBMY21XXX,EXPORT-IMPORT BANK OF MALAYSIA BERHAD
EXMBMYKL,EXMBMYKLXXX,EXPORT-IMPORT BANK OF MALAYSIA BERHAD
FABEMY22,FABEMY22XXX,FIDELITY ASIA BANK LTD
FASEMY21,FASEMY21XXX,FA SECURITIES SDN BHD
FEEBMYK1,FEEBMYK1XXX,FIRST EAST EXPORT BANK (P.L.C)
FPMBMYK1,FPMBMYK1XXX,FULTON PREBON (MALAYSIA) SDN BERHAD
FSSBMYK1,FSSBMYK1XXX,PREMIER CAPITAL SECURITIES SDN. BHD.
FTAGMY22,FTAGMY22XXX,FTAG INVESTMENT BANK LTD.
GATIMY22,GATIMY22XXX,GAT INVESTMENT BANK LIMITED
GOSPMYK1,GOSPMYK1XXX,GOH GROUP DEVELOPMENT SDN. BHD.
GSLIMY21,GSLIMY21XXX,GOLDMAN SACHS (LABUAN) INVESTMENT BK LTD
GSMDMYK1,GSMDMYK1XXX,GOLDMAN SACHS (MALAYSIA) SDN. BHD.
GXSPMYKL,GXSPMYKLXXX,GX BANK BERHAD
HALIMY21,HALIMY21XXX,HALIM SECURITIES SDN BHD
HAOFMYK1,HAOFMYK1XXX,HA OPTIONS AND FINANCIAL FUTURES
HBMBMYKL,HBMBMYKLXXX,HSBC BANK MALAYSIA BERHAD
HDMFMYK1,HDMFMYK1XXX,HDM FUTURES SDN BHD
HDSBMY2P,HDSBMY2PXXX,AFFIN HWANG INVESTMENT BANK BERHAD
HIMRMYK1,HIMRMYK1XXX,AHAM ASSET MANAGEMENT BERHAD
HIMRMYKB,HIMRMYKBXXX,AHAM ASSET MANAGEMENT BERHAD
HIMRMYKL,HIMRMYKLXXX,AHAM ASSET MANAGEMENT BERHAD
HLANMYK1,HLANMYK1XXX,HONG LEONG ASSET MANAGEMENT BHD
HLBBMYKL,HLBBMYKLXXX,HONG LEONG BANK BERHAD
HLBLMY22,HLBLMY22XXX,"HONG LEONG BANK BERHAD, LABUAN INTERNATIONAL BRANCH"
HLGFMYK1,HLGFMYK1XXX,HLG FUTURES SDN BHD
HLIBMYKL,HLIBMYKLXXX,HONG LEONG ISLAMIC BANK BERHAD
HLIVMYKL,HLIVMYKLXXX,HONG LEONG INVESTMENT BANK BERHAD
HMABMYKL,HMABMYKLXXX,HSBC AMANAH MALAYSIA BERHAD
HSBCMYKA,HSBCMYKAXXX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSTMMYKL,HSTMMYKLGWS,HSBC (MALAYSIA) TRUSTEE BERHAD
HSTMMYKL,HSTMMYKLXXX,HSBC (MALAYSIA) TRUSTEE BERHAD
HUTMMYK1,HUTMMYK1XXX,HONG LEONG ASSET MANAGEMENT BHD
ICBCMY2L,ICBCMY2LXXX,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD. LABUAN BRANCH"
ICBKMYKL,ICBKMYKLLAB,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (MALAYSIA) BERHAD.
ICBKMYKL,ICBKMYKLXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (MALAYSIA) BERHAD.
IILMMYK1,IILMMYK1XXX,INTERNATIONAL ISLAMIC LIQUIDITY MANAGEMENT CORPORATION
INGBMYK1,INGBMYK1XXX,ING CORPORATE ADVISORY (MALAYSIA) SDN. BHD.
INNOMY41,INNOMY41XXX,UOB KAY HIAN SECURITIES (M) SDN BHD
INSSMYK1,INSSMYK1XXX,INTER-PACIFIC SECURITIES SDN. BHD.
