bic_8,bic,bank
BOFASG3X,BOFASG3XEMG,BANK OF AMERICA SINGAPORE LIMITED
BOFASG3X,BOFASG3XJVC,BANK OF AMERICA SINGAPORE LIMITED
BOFASG3X,BOFASG3XTRY,BANK OF AMERICA SINGAPORE LIMITED
BOFASG3X,BOFASG3XXXX,BANK OF AMERICA SINGAPORE LIMITED
BOISSGS1,BOISSGS1XXX,MUFG SECURITIES ASIA (SINGAPORE) LIMITED
BORDSGSX,BORDSGSXXXX,BORDIER AND CIE (SINGAPORE) LTD
BOTKSGSX,BOTKSGSXXXX,"MUFG BANK, LTD."
BPIDSGS2,BPIDSGS2XXX,BROAD PEAK INVESTMENT ADVISERS PTE
BPTSSGSG,BPTSSGSGXXX,BNP PARIBAS - SINGAPORE BRANCH
BRINSGSG,BRINSGSGXXX,"PT. BANK RAKYAT INDONESIA (PERSERO) TBK., SINGAPORE BRANCH"
BSCHSGSG,BSCHSGSGXXX,"BANCO SANTANDER, S.A. SINGAPORE BRANCH"
BSIHSGS1,BSIHSGS1XXX,BROAD STREET INVESTMENTS HOLDING (SINGAPORE) PTE. LTD.
BSIISGS1,BSIISGS1XXX,BROAD STREET INVESTMENTS (SINGAPORE) PTE. LTD.
BSSLSGS1,BSSLSGS1XXX,MACQUARIE CAPITAL SECURITIES (SINGAPORE) PTE. LIMITED
BTSPSGS1,BTSPSGS1XXX,BTIG SINGAPORE PTE. LIMITED
BZWPSGS1,BZWPSGS1XXX,BZW-PACIFIC UNION PRIVATE LIMITED
BZWSSGS1,BZWSSGS1XXX,BZW FUTURES (SINGAPORE) PTE LTD.
CAPASGS1,CAPASGS1XXX,VICKERS CAPITAL PTE. LTD
CATPSGS1,CATPSGS1XXX,CHARTERED ASSET MANAGEMENT PTE LTD
CBPVSGS2,CBPVSGS2XXX,CBIPAY PRIVATE LIMITED
CCBCSGSG,CCBCSGSGXXX,CHANG HWA COMMERCIAL BANK LTD.
CDPLSGSG,CDPLSGSG001,THE CENTRAL DEPOSITORY (PTE) LIMITED
CDPLSGSG,CDPLSGSGXXX,THE CENTRAL DEPOSITORY (PTE) LIMITED
CEGSSGS2,CEGSSGS2XXX,CRESCENT ASSET MANAGEMENT ASIA PTE. LTD.
CFSASGS1,CFSASGS1XXX,CARGILL FINANCIAL SERVICES ASIA PTE LTD
CFSPSGS1,CFSPSGS1XXX,BGC BROKERS L.P.
CHASSGSG,CHASSGSGPBI,"JPMORGAN CHASE BANK, N.A. - SINGAPORE BRANCH"
CHASSGSG,CHASSGSGTRO,"JPMORGAN CHASE BANK, N.A. - SINGAPORE BRANCH"
CHASSGSG,CHASSGSGXXX,"JPMORGAN CHASE BANK, N.A. - SINGAPORE BRANCH"
CHASSGSP,CHASSGSPXXX,"JPMORGAN CHASE BANK, N.A. - SINGAPORE BRANCH"
CHBASGSG,CHBASGSGXXX,"THE CHIBA BANK, LTD. SINGAPORE BRANCH"
CHGKSGSG,CHGKSGSGXXX,"THE CHUGOKU BANK, LTD. SINGAPORE BRANCH"
CHNFSGSG,CHNFSGSGXXX,CHINA INTERNATIONAL FACTORING (SINGAPORE) PTE LTD
CHPESGS1,CHPESGS1XXX,CASHCARDONE PTE. LTD.
CIBBSGSG,CIBBSGSGXXX,CIMB BANK BERHAD
CIBCSGSG,CIBCSGSGXXX,CANADIAN IMPERIAL BANK OF COMMERCE
CIBSSGS1,CIBSSGS1XXX,J.P. MORGAN (S.E.A.) LIMITED
CIEVSGSG,CIEVSGSGXXX,COMPETROL INTERNATIONAL INVESTMENTS PRIVATE LIMITED
CISISGS1,CISISGS1XXX,CITICORP INTERNATIONAL SINGAPORE LT D.
CITISG21,CITISG21XXX,CITIBANK SINGAPORE LIMITED
CITISG31,CITISG31XXX,CITIBANK N.A
CITISGSG,CITISGSGCC1,CITIBANK N.A
CITISGSG,CITISGSGCCO,CITIBANK N.A
CITISGSG,CITISGSGCDP,CITIBANK N.A
CITISGSG,CITISGSGCTI,CITIBANK N.A
CITISGSG,CITISGSGDFA,CITIBANK N.A
CITISGSG,CITISGSGEFX,CITIBANK N.A
CITISGSG,CITISGSGGCB,CITIBANK N.A
CITISGSG,CITISGSGHUB,CITIBANK N.A
CITISGSG,CITISGSGICE,CITIBANK N.A
CITISGSG,CITISGSGNRI,CITIBANK N.A
CITISGSG,CITISGSGOCB,CITIBANK N.A
CITISGSG,CITISGSGPBG,CITIBANK N.A
CITISGSG,CITISGSGTCH,CITIBANK N.A
CITISGSG,CITISGSGXXX,CITIBANK N.A
CITISGSL,CITISGSLXXX,CITIBANK SINGAPORE LIMITED
CLARSGS1,CLARSGS1XXX,CLARIDEN BANK SINGAPORE
CLIPSGSG,CLIPSGSGXXX,CLARENCY SINGAPORE PTE. LTD.
CLSSSGS2,CLSSSGS2XXX,CLSA SINGAPORE PTE LTD.
CLSSSGSG,CLSSSGSGCHV,CLSA SINGAPORE PTE LTD.
